variable,source,n_total,n_covered,coverage_pct,run_date,notes
all_nba_lag1,awards_features,3660,3660,100.0,2026-05-12,
season_length_t,durability,3660,3660,100.0,2026-05-12,
contract_tier,contract_tier,3660,3660,100.0,2026-05-12,
city,market_size,3660,3152,86.12,2026-05-12,
cap_cba,cba_thresholds,3660,3660,100.0,2026-05-12,
all_nba_lag1,awards_features,3660,3660,100.0,2026-05-12,
season_length_t,durability,3660,3660,100.0,2026-05-12,
contract_tier,contract_tier,3660,3660,100.0,2026-05-12,
wins,team_season,3660,3142,85.85,2026-05-12,
team_win_pct_lag1,team_season_lag1,3660,2781,75.98,2026-05-12,
city,market_size,3660,3152,86.12,2026-05-12,
cap_cba,cba_thresholds,3660,3660,100.0,2026-05-12,
birth_country_code,birth_country,3660,3660,100.0,2026-05-12,
all_nba_lag1,awards_features,3660,3660,100.0,2026-05-12,
season_length_t,durability,3660,3660,100.0,2026-05-12,
contract_tier,contract_tier,3660,3660,100.0,2026-05-12,
wins,team_season,3660,3152,86.12,2026-05-12,
team_win_pct_lag1,team_season_lag1,3660,2796,76.39,2026-05-12,
city,market_size,3660,3152,86.12,2026-05-12,
cap_cba,cba_thresholds,3660,3660,100.0,2026-05-12,
birth_country_code,birth_country,3660,3660,100.0,2026-05-12,
