variable,M1c_full (year FE),M1c_full_alt_mkt,M1c_full_robust_awards,M1c_full_no_collinear,M1d_full (2-way FE)
const,6.8934 (0.6470)***,6.8666 (0.6445)***,6.7402 (0.6408)***,6.0940 (0.6282)***,
ppg,0.0180 (0.0167),0.0186 (0.0168),0.0234 (0.0169),0.0131 (0.0160),0.0251 (0.0287)
rpg,0.0146 (0.0130),0.0134 (0.0132),0.0142 (0.0130),0.0188 (0.0134),0.1044 (0.0314)***
apg,0.0303 (0.0186),0.0299 (0.0183),0.0223 (0.0188),0.0245 (0.0174),0.0564 (0.0338)*
spg,0.0690 (0.0656),0.0713 (0.0660),0.0725 (0.0637),0.0600 (0.0641),0.1699 (0.1222)
bpg,0.0770 (0.0563),0.0735 (0.0561),0.0866 (0.0546),0.0689 (0.0580),-0.0530 (0.1210)
mpg,0.0389 (0.0104)***,0.0392 (0.0104)***,0.0370 (0.0106)***,0.0443 (0.0096)***,0.0099 (0.0180)
gp,-0.0031 (0.0014)**,-0.0032 (0.0014)**,-0.0028 (0.0014)*,-0.0023 (0.0012)*,-0.0011 (0.0022)
per,-0.0333 (0.0113)***,-0.0338 (0.0115)***,-0.0330 (0.0115)***,-0.0268 (0.0101)***,-0.0571 (0.0180)***
ws,0.0283 (0.0235),0.0300 (0.0236),0.0208 (0.0225),,0.0209 (0.0385)
vorp,-0.0030 (0.0430),-0.0039 (0.0430),0.0073 (0.0408),0.0306 (0.0273),0.0223 (0.0662)
usg_pct,0.0156 (0.0094)*,0.0154 (0.0095),0.0123 (0.0095),0.0153 (0.0091)*,0.0440 (0.0163)***
age,0.5605 (0.0433)***,0.5583 (0.0432)***,0.5741 (0.0431)***,0.5880 (0.0430)***,
age_sq,-0.0097 (0.0008)***,-0.0097 (0.0008)***,-0.0100 (0.0008)***,-0.0090 (0.0008)***,
experience,0.0824 (0.0136)***,0.0822 (0.0136)***,0.0823 (0.0137)***,,
allstar,0.0291 (0.0634),0.0305 (0.0635),-0.0167 (0.0625),0.0432 (0.0668),0.0741 (0.0964)
undrafted,0.0235 (0.0669),0.0259 (0.0672),0.0119 (0.0667),-0.2271 (0.0575)***,
log_draft_pick,-0.1343 (0.0231)***,-0.1342 (0.0231)***,-0.1239 (0.0231)***,-0.1726 (0.0229)***,
pos_PG,-0.3236 (0.0865)***,-0.3306 (0.0863)***,-0.2970 (0.0861)***,-0.3242 (0.0868)***,
pos_SG,-0.2256 (0.0779)***,-0.2326 (0.0779)***,-0.2118 (0.0773)***,-0.2392 (0.0806)***,
pos_SF,-0.1977 (0.0723)***,-0.2058 (0.0724)***,-0.1872 (0.0719)***,-0.2154 (0.0753)***,
pos_PF,-0.1640 (0.0616)***,-0.1699 (0.0619)***,-0.1528 (0.0611)**,-0.1695 (0.0629)***,
born_canada,0.1508 (0.0628)**,0.1490 (0.0663)**,0.1555 (0.0641)**,0.1626 (0.0577)***,
born_europe,0.1038 (0.0528)**,0.1101 (0.0527)**,0.1118 (0.0521)**,0.1378 (0.0536)**,
born_latam,0.0490 (0.1300),0.0633 (0.1300),0.0374 (0.1319),-0.0129 (0.1301),
born_africa,-0.0314 (0.0792),-0.0104 (0.0767),-0.0295 (0.0837),-0.0387 (0.0965),
born_asia_oceania,0.2967 (0.1037)***,0.2957 (0.1017)***,0.3157 (0.1051)***,0.2265 (0.0966)**,
top5_market,-0.0980 (0.0427)**,,-0.0898 (0.0425)**,-0.0952 (0.0441)**,
all_nba_lag1,0.1850 (0.0700)***,0.1830 (0.0698)***,0.1591 (0.0788)**,0.1580 (0.0713)**,0.2599 (0.0837)***
career_all_nba_count,-0.0448 (0.0189)**,-0.0457 (0.0190)**,,-0.0397 (0.0192)**,-0.1245 (0.0763)
career_allstar_count,0.1221 (0.0284)***,0.1213 (0.0288)***,,0.1312 (0.0284)***,0.1656 (0.0779)**
games_missed_lag1,-0.0049 (0.0011)***,-0.0049 (0.0011)***,-0.0049 (0.0011)***,-0.0049 (0.0011)***,-0.0042 (0.0014)***
team_win_pct_lag1,-0.2153 (0.1669),-0.2378 (0.1674),-0.2441 (0.1672),-0.1243 (0.1672),-0.0928 (0.2276)
team_made_playoffs_lag1,-0.0586 (0.0461),-0.0477 (0.0465),-0.0575 (0.0459),-0.0640 (0.0466),-0.0376 (0.0570)
team_over_luxury_tax_t,0.0259 (0.0462),0.0069 (0.0460),0.0398 (0.0464),0.0328 (0.0466),-0.0361 (0.0702)
no_income_tax,-0.0105 (0.0453),0.0128 (0.0441),-0.0087 (0.0452),-0.0125 (0.0460),0.0530 (0.0830)
market_size_rank_nba,,0.0037 (0.0020)*,,,
has_career_all_nba,,,0.0252 (0.0944),,
has_career_allstar,,,0.3311 (0.0830)***,,
multi_all_nba,,,-0.2198 (0.1058)**,,
N,2268,2268,2268,2268,2268
R^2,0.6510,0.6506,0.6518,0.6400,0.2456
