variable,M10a (cumulative),M10a_robust (binary),M10b (supermax_eligible)
const,6.8934 (0.6470)***,6.7402 (0.6408)***,6.4959 (0.6597)***
ppg,0.0180 (0.0167),0.0234 (0.0169),0.0192 (0.0171)
rpg,0.0146 (0.0130),0.0142 (0.0130),0.0127 (0.0132)
apg,0.0303 (0.0186),0.0223 (0.0188),0.0296 (0.0186)
spg,0.0690 (0.0656),0.0725 (0.0637),0.0758 (0.0642)
bpg,0.0770 (0.0563),0.0866 (0.0546),0.0812 (0.0553)
mpg,0.0389 (0.0104)***,0.0370 (0.0106)***,0.0389 (0.0107)***
gp,-0.0031 (0.0014)**,-0.0028 (0.0014)*,-0.0033 (0.0014)**
per,-0.0333 (0.0113)***,-0.0330 (0.0115)***,-0.0350 (0.0115)***
ws,0.0283 (0.0235),0.0208 (0.0225),0.0292 (0.0228)
vorp,-0.0030 (0.0430),0.0073 (0.0408),-0.0036 (0.0423)
usg_pct,0.0156 (0.0094)*,0.0123 (0.0095),0.0156 (0.0095)
age,0.5605 (0.0433)***,0.5741 (0.0431)***,0.5926 (0.0441)***
age_sq,-0.0097 (0.0008)***,-0.0100 (0.0008)***,-0.0104 (0.0008)***
experience,0.0824 (0.0136)***,0.0823 (0.0137)***,0.0808 (0.0139)***
allstar,0.0291 (0.0634),-0.0167 (0.0625),0.0174 (0.0639)
undrafted,0.0235 (0.0669),0.0119 (0.0667),0.0063 (0.0686)
log_draft_pick,-0.1343 (0.0231)***,-0.1239 (0.0231)***,-0.1262 (0.0239)***
pos_PG,-0.3236 (0.0865)***,-0.2970 (0.0861)***,-0.3327 (0.0869)***
pos_SG,-0.2256 (0.0779)***,-0.2118 (0.0773)***,-0.2343 (0.0780)***
pos_SF,-0.1977 (0.0723)***,-0.1872 (0.0719)***,-0.2067 (0.0727)***
pos_PF,-0.1640 (0.0616)***,-0.1528 (0.0611)**,-0.1696 (0.0616)***
born_canada,0.1508 (0.0628)**,0.1555 (0.0641)**,0.1510 (0.0632)**
born_europe,0.1038 (0.0528)**,0.1118 (0.0521)**,0.1053 (0.0525)**
born_latam,0.0490 (0.1300),0.0374 (0.1319),0.0672 (0.1313)
born_africa,-0.0314 (0.0792),-0.0295 (0.0837),-0.0271 (0.0798)
born_asia_oceania,0.2967 (0.1037)***,0.3157 (0.1051)***,0.3153 (0.1005)***
games_missed_lag1,-0.0049 (0.0011)***,-0.0049 (0.0011)***,-0.0050 (0.0011)***
team_win_pct_lag1,-0.2153 (0.1669),-0.2441 (0.1672),-0.1958 (0.1656)
team_made_playoffs_lag1,-0.0586 (0.0461),-0.0575 (0.0459),-0.0611 (0.0462)
team_over_luxury_tax_t,0.0259 (0.0462),0.0398 (0.0464),0.0217 (0.0461)
no_income_tax,-0.0105 (0.0453),-0.0087 (0.0452),-0.0168 (0.0452)
top5_market,-0.0980 (0.0427)**,-0.0898 (0.0425)**,-0.1047 (0.0426)**
all_nba_lag1,0.1850 (0.0700)***,0.1591 (0.0788)**,
career_all_nba_count,-0.0448 (0.0189)**,,
career_allstar_count,0.1221 (0.0284)***,,0.0804 (0.0273)***
has_career_all_nba,,0.0252 (0.0944),
multi_all_nba,,-0.2198 (0.1058)**,
has_career_allstar,,0.3311 (0.0830)***,
supermax_eligible_loose,,,0.1304 (0.0789)*
N,2268,2268,2268
R^2,0.6510,0.6518,0.6491
