variable,M11a (durability main),M11b (durability × age),M_full (combined)
const,6.8934 (0.6470)***,6.6902 (0.6494)***,11.7940 (0.4807)***
ppg,0.0180 (0.0167),0.0183 (0.0169),0.0042 (0.0101)
rpg,0.0146 (0.0130),0.0151 (0.0132),0.0042 (0.0092)
apg,0.0303 (0.0186),0.0297 (0.0187),0.0225 (0.0113)**
spg,0.0690 (0.0656),0.0686 (0.0656),0.0067 (0.0430)
bpg,0.0770 (0.0563),0.0740 (0.0569),0.0347 (0.0392)
mpg,0.0389 (0.0104)***,0.0390 (0.0104)***,0.0150 (0.0066)**
gp,-0.0031 (0.0014)**,-0.0032 (0.0014)**,-0.0009 (0.0009)
per,-0.0333 (0.0113)***,-0.0332 (0.0114)***,-0.0074 (0.0069)
ws,0.0283 (0.0235),0.0280 (0.0235),0.0095 (0.0148)
vorp,-0.0030 (0.0430),-0.0012 (0.0431),-0.0018 (0.0257)
usg_pct,0.0156 (0.0094)*,0.0154 (0.0095),0.0027 (0.0056)
age,0.5605 (0.0433)***,0.5687 (0.0435)***,0.2349 (0.0327)***
age_sq,-0.0097 (0.0008)***,-0.0097 (0.0008)***,-0.0040 (0.0006)***
experience,0.0824 (0.0136)***,0.0808 (0.0137)***,0.0594 (0.0096)***
allstar,0.0291 (0.0634),0.0277 (0.0634),0.0548 (0.0350)
undrafted,0.0235 (0.0669),0.0222 (0.0669),-0.0120 (0.0517)
log_draft_pick,-0.1343 (0.0231)***,-0.1381 (0.0235)***,-0.1209 (0.0149)***
pos_PG,-0.3236 (0.0865)***,-0.3217 (0.0865)***,-0.1320 (0.0512)**
pos_SG,-0.2256 (0.0779)***,-0.2258 (0.0778)***,-0.0813 (0.0480)*
pos_SF,-0.1977 (0.0723)***,-0.1964 (0.0722)***,-0.0751 (0.0441)*
pos_PF,-0.1640 (0.0616)***,-0.1673 (0.0614)***,-0.0639 (0.0361)*
born_canada,0.1508 (0.0628)**,0.1562 (0.0623)**,0.0436 (0.0624)
born_europe,0.1038 (0.0528)**,0.1065 (0.0530)**,0.0391 (0.0324)
born_latam,0.0490 (0.1300),0.0419 (0.1294),0.0424 (0.0739)
born_africa,-0.0314 (0.0792),-0.0296 (0.0798),-0.0612 (0.0560)
born_asia_oceania,0.2967 (0.1037)***,0.2961 (0.1032)***,0.1117 (0.0739)
all_nba_lag1,0.1850 (0.0700)***,0.1778 (0.0713)**,0.0449 (0.0477)
career_all_nba_count,-0.0448 (0.0189)**,-0.0465 (0.0191)**,-0.0366 (0.0095)***
career_allstar_count,0.1221 (0.0284)***,0.1232 (0.0288)***,0.0300 (0.0163)*
games_missed_lag1,-0.0049 (0.0011)***,0.0052 (0.0065),-0.0045 (0.0006)***
team_win_pct_lag1,-0.2153 (0.1669),-0.2174 (0.1666),0.0000 (0.1087)
team_made_playoffs_lag1,-0.0586 (0.0461),-0.0593 (0.0460),-0.0344 (0.0285)
team_over_luxury_tax_t,0.0259 (0.0462),0.0276 (0.0463),-0.0268 (0.0281)
no_income_tax,-0.0105 (0.0453),-0.0089 (0.0453),0.0053 (0.0291)
top5_market,-0.0980 (0.0427)**,-0.0971 (0.0427)**,-0.0059 (0.0269)
games_missed_x_age,,-0.0004 (0.0002),
tier_minimum,,,-0.9055 (0.0308)***
tier_rookie_scale,,,-0.0876 (0.0449)*
tier_high_mid,,,0.8487 (0.0366)***
tier_max_25,,,1.1357 (0.0396)***
tier_max_30,,,1.1525 (0.0504)***
tier_max_35,,,1.2785 (0.0638)***
tier_supermax,,,1.1877 (0.0830)***
tier_overpay,,,1.3432 (0.0652)***
supermax_eligible_loose,,,0.0783 (0.0603)
N,2268,2268,2268
R^2,0.6510,0.6515,0.8624
