variable,M8a (top5),M8b (rank),M8c (top5 × allstar),M8d (top5 × intl)
const,6.8934 (0.6470)***,6.8666 (0.6445)***,6.9405 (0.6481)***,6.8760 (0.6441)***
ppg,0.0180 (0.0167),0.0186 (0.0168),0.0182 (0.0167),0.0175 (0.0167)
rpg,0.0146 (0.0130),0.0134 (0.0132),0.0159 (0.0132),0.0146 (0.0131)
apg,0.0303 (0.0186),0.0299 (0.0183),0.0318 (0.0185)*,0.0302 (0.0186)
spg,0.0690 (0.0656),0.0713 (0.0660),0.0708 (0.0656),0.0689 (0.0656)
bpg,0.0770 (0.0563),0.0735 (0.0561),0.0765 (0.0562),0.0772 (0.0562)
mpg,0.0389 (0.0104)***,0.0392 (0.0104)***,0.0384 (0.0104)***,0.0391 (0.0104)***
gp,-0.0031 (0.0014)**,-0.0032 (0.0014)**,-0.0031 (0.0014)**,-0.0031 (0.0014)**
per,-0.0333 (0.0113)***,-0.0338 (0.0115)***,-0.0339 (0.0113)***,-0.0331 (0.0113)***
ws,0.0283 (0.0235),0.0300 (0.0236),0.0292 (0.0235),0.0281 (0.0234)
vorp,-0.0030 (0.0430),-0.0039 (0.0430),-0.0024 (0.0433),-0.0023 (0.0429)
usg_pct,0.0156 (0.0094)*,0.0154 (0.0095),0.0158 (0.0094)*,0.0158 (0.0094)*
age,0.5605 (0.0433)***,0.5583 (0.0432)***,0.5580 (0.0434)***,0.5613 (0.0433)***
age_sq,-0.0097 (0.0008)***,-0.0097 (0.0008)***,-0.0097 (0.0008)***,-0.0098 (0.0008)***
experience,0.0824 (0.0136)***,0.0822 (0.0136)***,0.0822 (0.0136)***,0.0820 (0.0136)***
allstar,0.0291 (0.0634),0.0305 (0.0635),-0.0045 (0.0704),0.0296 (0.0634)
undrafted,0.0235 (0.0669),0.0259 (0.0672),0.0248 (0.0670),0.0219 (0.0667)
log_draft_pick,-0.1343 (0.0231)***,-0.1342 (0.0231)***,-0.1352 (0.0231)***,-0.1339 (0.0231)***
pos_PG,-0.3236 (0.0865)***,-0.3306 (0.0863)***,-0.3231 (0.0864)***,-0.3234 (0.0864)***
pos_SG,-0.2256 (0.0779)***,-0.2326 (0.0779)***,-0.2243 (0.0778)***,-0.2250 (0.0778)***
pos_SF,-0.1977 (0.0723)***,-0.2058 (0.0724)***,-0.1988 (0.0722)***,-0.1976 (0.0722)***
pos_PF,-0.1640 (0.0616)***,-0.1699 (0.0619)***,-0.1643 (0.0615)***,-0.1639 (0.0615)***
born_canada,0.1508 (0.0628)**,0.1490 (0.0663)**,0.1490 (0.0625)**,0.1439 (0.0646)**
born_europe,0.1038 (0.0528)**,0.1101 (0.0527)**,0.1057 (0.0529)**,0.0941 (0.0534)*
born_latam,0.0490 (0.1300),0.0633 (0.1300),0.0480 (0.1303),0.0408 (0.1288)
born_africa,-0.0314 (0.0792),-0.0104 (0.0767),-0.0286 (0.0784),-0.0392 (0.0800)
born_asia_oceania,0.2967 (0.1037)***,0.2957 (0.1017)***,0.2949 (0.1027)***,0.2864 (0.1068)***
all_nba_lag1,0.1850 (0.0700)***,0.1830 (0.0698)***,0.1852 (0.0707)***,0.1842 (0.0701)***
career_all_nba_count,-0.0448 (0.0189)**,-0.0457 (0.0190)**,-0.0477 (0.0203)**,-0.0442 (0.0190)**
career_allstar_count,0.1221 (0.0284)***,0.1213 (0.0288)***,0.1198 (0.0284)***,0.1224 (0.0285)***
games_missed_lag1,-0.0049 (0.0011)***,-0.0049 (0.0011)***,-0.0049 (0.0011)***,-0.0049 (0.0011)***
team_win_pct_lag1,-0.2153 (0.1669),-0.2378 (0.1674),-0.2268 (0.1673),-0.2135 (0.1667)
team_made_playoffs_lag1,-0.0586 (0.0461),-0.0477 (0.0465),-0.0542 (0.0462),-0.0594 (0.0461)
team_over_luxury_tax_t,0.0259 (0.0462),0.0069 (0.0460),0.0248 (0.0459),0.0252 (0.0463)
no_income_tax,-0.0105 (0.0453),0.0128 (0.0441),-0.0112 (0.0453),-0.0106 (0.0453)
top5_market,-0.0980 (0.0427)**,,-0.1092 (0.0443)**,-0.1084 (0.0463)**
market_size_rank_nba,,0.0037 (0.0020)*,,
top5_x_allstar,,,0.1570 (0.0978),
top5_x_intl,,,,0.0580 (0.1143)
N,2268,2268,2268,2268
R^2,0.6510,0.6506,0.6512,0.6510
