step,block,n_regs,R2,dR2,share_of_total
0,(intercept only),0,0.0,0.0,0.0
1,Durability,2,0.09284235423335219,0.09284235423335219,0.14309672816118393
2,Team,5,0.10300194739103896,0.010159593157686775,0.01565885044943714
3,Market,6,0.10327560653811318,0.00027365914707422334,0.00042178732865041956
4,Structural,9,0.1066750614165145,0.00339945487840132,0.005239536143257926
5,Awards,12,0.30583015434792094,0.19915509293140643,0.30695518689123424
6,International,17,0.31162828209989035,0.005798127751969417,0.008936579835987505
7,Demographics,24,0.3950023679461605,0.08337408584627015,0.1285034077016658
8,Age,27,0.5335474551826753,0.13854508723651482,0.21353776355693838
9,Performance,38,0.6488083649877354,0.1152609098050601,0.17765015993164468
