step,block,n_regs,R2,dR2,share_of_total,dR2_mean,dR2_lo,dR2_hi,R2_mean
0,(intercept only),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Performance,11,0.44588016327504254,0.44588016327504254,0.6872293690040062,0.4490762806716724,0.40341528600348664,0.493557235913853,0.4490762806716724
2,Age,14,0.615291080403219,0.16941091712817646,0.26111087074436656,0.1693791016182855,0.14327622480887595,0.19958725864540924,0.6184553822899579
3,Demographics,21,0.6285332285386639,0.013242148135444887,0.020409952845930404,0.014948952349132499,0.008611037168119506,0.023443544614892203,0.6334043346390904
4,International,26,0.6325676856234423,0.004034457084778453,0.0062182568883104895,0.005129243801491303,0.001942519062540543,0.009783286366564748,0.6385335784405817
5,Awards,29,0.6383782181369153,0.005810532513472966,0.008955699135572646,0.006257280399346071,0.0018845430723300695,0.011451748753601628,0.6447908588399277
6,Structural,32,0.6419410583888716,0.0035628402519563007,0.005491359921081857,0.003948389081741412,0.0011901670685898202,0.00808832825117206,0.6487392479216691
7,Market,33,0.6429958516450515,0.0010547932561798534,0.0016257392985366212,0.0013098306126443165,2.3169465677280734e-05,0.0035602207161588087,0.6500490785343135
8,Team,36,0.6453014435967863,0.0023055919517348533,0.0035535792633907175,0.0026331023274529545,0.0008051620908938878,0.005174726765131671,0.6526821808617664
9,Durability,38,0.6488083649877356,0.0035069213909493246,0.005405172898804434,0.004016852259289467,0.0013428466492630853,0.008281178445430047,0.6566990331210559
