variable,VIF
age_sq,151.29439048618653
age,147.41947058115136
ppg,44.56019156923121
mpg,26.038256915155735
ws,20.481673444669564
vorp,18.033658827728484
usg_pct,11.354522242415625
experience,9.94221559416347
per,9.872455909124795
apg,5.616391428795618
rpg,4.823270673923555
pos_PG,4.4428007993349174
pos_SG,4.413941926470708
pos_SF,3.251496105745145
spg,3.0870344274517714
team_win_pct_lag1,3.029071793093109
career_allstar_count,2.7989875193874205
team_made_playoffs_lag1,2.779002299987199
career_all_nba_count,2.612187569708351
bpg,2.472360172366824
pos_PF,2.414640687470215
gp,2.2220867230690193
allstar,2.2073198844127213
undrafted,2.111381985629374
log_draft_pick,2.0305125835062725
all_nba_lag1,1.9662761032953082
games_missed_lag1,1.2641498033741343
team_over_luxury_tax_t,1.2335447832934756
top5_market,1.1654100493355997
born_europe,1.143477756518307
no_income_tax,1.1214794637094094
born_asia_oceania,1.0723421947800866
born_africa,1.058408411038206
born_latam,1.0569953858236238
born_canada,1.0475386686972323
