variable,VIF
age_sq,148.13707434866902
age,146.46258085760442
ppg,44.39734098815918
mpg,23.562598657813577
usg_pct,10.502376497816886
per,8.04148824419199
vorp,7.600664317154056
apg,5.066473549675147
rpg,4.808334036814468
pos_SG,4.410145917784581
pos_PG,4.396400005100759
pos_SF,3.2477364867240617
team_win_pct_lag1,2.98329001125024
spg,2.8889275760578177
career_allstar_count,2.7881644177582343
team_made_playoffs_lag1,2.7769662814584315
career_all_nba_count,2.605352093795133
bpg,2.440090532025193
pos_PF,2.4059739498943684
allstar,2.194563248247859
all_nba_lag1,1.961774562476302
log_draft_pick,1.8819160077079027
gp,1.4984488268462124
undrafted,1.4475185534329797
games_missed_lag1,1.2628949739633577
team_over_luxury_tax_t,1.2299777100780107
top5_market,1.163980918962005
born_europe,1.1332837795573842
no_income_tax,1.1214149611557052
born_asia_oceania,1.0591648703800642
born_africa,1.0580042179626492
born_latam,1.0482305843419315
born_canada,1.045867526077781
