player_id,season,all_nba_team,all_defense_team,mvp,dpoy
allento01,2016,0,2,0,0
bradlav01,2016,0,1,0,0
butleji01,2016,0,2,0,0
millspa01,2016,0,2,0,0
whiteha01,2016,0,2,0,0
curryst01,2016,1,0,1,0
jamesle01,2016,1,0,0,0
jordade01,2016,1,1,0,0
leonaka01,2016,1,1,0,1
westbru01,2016,1,0,0,0
couside01,2016,2,0,0,0
duranke01,2016,2,0,0,0
greendr01,2016,2,1,0,0
lillada01,2016,2,0,0,0
paulch01,2016,2,1,0,0
aldrila01,2016,3,0,0,0
drumman01,2016,3,0,0,0
georgpa01,2016,3,2,0,0
lowryky01,2016,3,0,0,0
thompkl01,2016,3,0,0,0
allento01,2017,0,2,0,0
beverpa01,2017,0,1,0,0
greenda02,2017,0,2,0,0
paulch01,2017,0,1,0,0
roberan03,2017,0,2,0,0
davisan02,2017,1,2,0,0
hardeja01,2017,1,0,0,0
jamesle01,2017,1,0,0,0
leonaka01,2017,1,1,0,0
westbru01,2017,1,0,1,0
antetgi01,2017,2,2,0,0
curryst01,2017,2,0,0,0
duranke01,2017,2,0,0,0
goberru01,2017,2,1,0,0
thomais02,2017,2,0,0,0
butleji01,2017,3,0,0,0
derozde01,2017,3,0,0,0
greendr01,2017,3,1,0,1
jordade01,2017,3,0,0,0
walljo01,2017,3,0,0,0
covinro01,2018,0,1,0,0
goberru01,2018,0,1,0,1
greendr01,2018,0,2,0,0
holidjr01,2018,0,1,0,0
horfoal01,2018,0,2,0,0
murrade01,2018,0,2,0,0
davisan02,2018,1,1,0,0
duranke01,2018,1,0,0,0
hardeja01,2018,1,0,1,0
jamesle01,2018,1,0,0,0
lillada01,2018,1,0,0,0
aldrila01,2018,2,0,0,0
antetgi01,2018,2,0,0,0
derozde01,2018,2,0,0,0
embiijo01,2018,2,2,0,0
westbru01,2018,2,0,0,0
butleji01,2018,3,2,0,0
curryst01,2018,3,0,0,0
georgpa01,2018,3,0,0,0
oladivi01,2018,3,1,0,0
townska01,2018,3,0,0,0
bledser01,2019,0,1,0,0
greendr01,2019,0,2,0,0
holidjr01,2019,0,2,0,0
smartma01,2019,0,1,0,0
thompkl01,2019,0,2,0,0
antetgi01,2019,1,1,1,0
curryst01,2019,1,0,0,0
georgpa01,2019,1,1,0,0
hardeja01,2019,1,0,0,0
jokicni01,2019,1,0,0,0
duranke01,2019,2,0,0,0
embiijo01,2019,2,2,0,0
irvinky01,2019,2,0,0,0
leonaka01,2019,2,2,0,0
lillada01,2019,2,0,0,0
goberru01,2019,3,1,0,1
griffbl01,2019,3,0,0,0
jamesle01,2019,3,0,0,0
walkeke02,2019,3,0,0,0
westbru01,2019,3,0,0,0
adebaba01,2020,0,2,0,0
beverpa01,2020,0,2,0,0
bledser01,2020,0,2,0,0
lopezbr01,2020,0,2,0,0
smartma01,2020,0,1,0,0
antetgi01,2020,1,1,1,1
davisan02,2020,1,1,0,0
doncilu01,2020,1,0,0,0
hardeja01,2020,1,0,0,0
jamesle01,2020,1,0,0,0
jokicni01,2020,2,0,0,0
leonaka01,2020,2,2,0,0
lillada01,2020,2,0,0,0
paulch01,2020,2,0,0,0
siakapa01,2020,2,0,0,0
butleji01,2020,3,0,0,0
goberru01,2020,3,1,0,0
simmobe01,2020,3,1,0,0
tatumja01,2020,3,0,0,0
westbru01,2020,3,0,0,0
adebaba01,2021,0,2,0,0
greendr01,2021,0,1,0,0
holidjr01,2021,0,1,0,0
simmobe01,2021,0,1,0,0
thybuma01,2021,0,2,0,0
antetgi01,2021,1,1,0,0
curryst01,2021,1,0,0,0
doncilu01,2021,1,0,0,0
jokicni01,2021,1,0,1,0
leonaka01,2021,1,2,0,0
embiijo01,2021,2,2,0,0
jamesle01,2021,2,0,0,0
lillada01,2021,2,0,0,0
paulch01,2021,2,0,0,0
randlju01,2021,2,0,0,0
bealbr01,2021,3,0,0,0
butleji01,2021,3,2,0,0
georgpa01,2021,3,0,0,0
goberru01,2021,3,1,0,1
irvinky01,2021,3,0,0,0
adebaba01,2022,0,2,0,0
bridgmi01,2022,0,1,0,0
goberru01,2022,0,1,0,0
greendr01,2022,0,2,0,0
holidjr01,2022,0,2,0,0
jacksja02,2022,0,1,0,0
smartma01,2022,0,1,0,1
thybuma01,2022,0,2,0,0
williro04,2022,0,2,0,0
antetgi01,2022,1,1,0,0
bookede01,2022,1,0,0,0
doncilu01,2022,1,0,0,0
jokicni01,2022,1,0,1,0
tatumja01,2022,1,0,0,0
curryst01,2022,2,0,0,0
derozde01,2022,2,0,0,0
duranke01,2022,2,0,0,0
embiijo01,2022,2,0,0,0
moranja01,2022,2,0,0,0
jamesle01,2022,3,0,0,0
paulch01,2022,3,0,0,0
siakapa01,2022,3,0,0,0
townska01,2022,3,0,0,0
youngtr01,2022,3,0,0,0
adebaba01,2023,0,2,0,0
anunoog01,2023,0,2,0,0
brookdi01,2023,0,2,0,0
carusal01,2023,0,1,0,0
greendr01,2023,0,2,0,0
holidjr01,2023,0,1,0,0
jacksja02,2023,0,1,0,1
lopezbr01,2023,0,1,0,0
mobleev01,2023,0,1,0,0
whitede01,2023,0,2,0,0
antetgi01,2023,1,0,0,0
doncilu01,2023,1,0,0,0
embiijo01,2023,1,0,1,0
gilgesh01,2023,1,0,0,0
tatumja01,2023,1,0,0,0
brownja02,2023,2,0,0,0
butleji01,2023,2,0,0,0
curryst01,2023,2,0,0,0
jokicni01,2023,2,0,0,0
mitchdo01,2023,2,0,0,0
foxde01,2023,3,0,0,0
jamesle01,2023,3,0,0,0
lillada01,2023,3,0,0,0
randlju01,2023,3,0,0,0
sabondo01,2023,3,0,0,0
adebaba01,2024,0,1,0,0
carusal01,2024,0,2,0,0
goberru01,2024,0,1,0,1
holidjr01,2024,0,2,0,0
joneshe01,2024,0,1,0,0
mcdanja02,2024,0,2,0,0
suggsja01,2024,0,2,0,0
wembavi01,2024,0,1,0,0
whitede01,2024,0,2,0,0
antetgi01,2024,1,0,0,0
doncilu01,2024,1,0,0,0
gilgesh01,2024,1,0,0,0
jokicni01,2024,1,0,1,0
tatumja01,2024,1,0,0,0
brunsja01,2024,2,0,0,0
davisan02,2024,2,1,0,0
duranke01,2024,2,0,0,0
edwaran01,2024,2,0,0,0
leonaka01,2024,2,0,0,0
bookede01,2024,3,0,0,0
curryst01,2024,3,0,0,0
halibty01,2024,3,0,0,0
jamesle01,2024,3,0,0,0
sabondo01,2024,3,0,0,0
