birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1993-08-01,Palma de Mallorca,es,abrinal01,,Álex Abrines,Spain,1
1999-09-19,Port Harcourt,ng,achiupr01,,Precious Achiuwa,Nigeria,1
1990-10-06,Tyler,us,acyqu01,,Quincy Acy,USA,0
1996-05-04,Baltimore,us,adamsja01,,Jaylen Adams,USA,0
1993-07-20,Rotorua,nz,adamsst01,,Steven Adams,New Zealand,1
1997-07-18,Newark,us,adebaba01,,Bam Adebayo,USA,0
1985-10-15,Los Angeles,us,afflaar01,,Arron Afflalo,USA,0
2000-04-20,Milwaukee,us,agbajoc01,,Ochai Agbaji,USA,0
1988-05-06,Saint-Etienne,fr,ajincal01,,Alexis Ajinça,France,1
1988-10-31,Burnsville,us,aldrico01,,Cole Aldrich,USA,0
1985-07-19,Dallas,us,aldrila01,,LaMarcus Aldridge,USA,0
1998-09-02,Toronto,ca,alexani01,,Nickeil Alexander-Walker,Canada,1
1995-10-08,Jacksonville,us,allengr01,,Grayson Allen,USA,0
1998-04-21,San Diego,us,allenja01,,Jarrett Allen,USA,0
1989-02-04,Morrisville,us,allenla01,,Lavoy Allen,USA,0
1982-01-11,Chicago,us,allento01,,Tony Allen,USA,0
1998-04-12,Brooklyn,us,alvarjo01,,Jose Alvarado,USA,0
1990-09-21,Atlanta,us,aminual01,,Al-Farouq Aminu,USA,0
1982-10-16,Minneapolis,us,anderal01,,Alan Anderson,USA,0
1978-07-07,Long Beach,us,anderch01,,Chris Andersen,USA,0
1989-03-25,El Dorado,us,anderja01,,James Anderson,USA,0
1993-11-19,Montross,us,anderju01,,Justin Anderson,USA,0
1993-09-20,New York,us,anderky01,,Kyle Anderson,USA,0
1988-05-06,Sacramento,us,anderry01,,Ryan Anderson,USA,0
1994-12-06,Athens,gr,antetgi01,,Giannis Antetokounmpo,Greece,1
1992-07-18,Athens,gr,antetth01,,Thanasis Antetokounmpo,Greece,1
1984-05-29,Brooklyn,us,anthoca01,,Carmelo Anthony,USA,0
2000-05-15,Portland,us,anthoco01,,Cole Anthony,USA,0
1997-07-17,London,gb,anunoog01,,OG Anunoby,United Kingdom,1
1994-03-26,Philadelphia,us,arcidry01,,Ryan Arcidiacono,USA,0
1985-06-30,Miami,us,arizatr01,,Trevor Ariza,USA,0
1979-11-13,Queensbridge,us,artesro01,,Metta World Peace,USA,0
1988-03-25,Dallas,us,arthuda01,,Darrell Arthur,USA,0
1986-07-04,Bursa,tr,asikom01,,Ömer Aşık,Turkey,1
1987-11-10,New Orleans,us,augusdj01,,D.J. Augustin,USA,0
2001-01-03,Beit Zera,il,avdijde01,,Deni Avdija,Israel,1
1998-07-23,Nassau,bs,aytonde01,,Deandre Ayton,Bahamas,1
1999-09-17,Lagos,ng,azubuud01,,Udoka Azubuike,Nigeria,1
1989-06-20,Cincinnati,us,babbilu01,,Luke Babbitt,USA,0
1995-08-30,Lakeland,us,bacondw01,,Dwayne Bacon,USA,0
2002-10-13,Dakar,sn,badjiib01,,Ibou Badji,Senegal,1
1999-03-14,Tempe,us,baglema01,,Marvin Bagley III,USA,0
1993-03-30,Hays,us,bakerro01,,Ron Baker,USA,0
2002-11-18,Green Bay,us,baldwpa01,,Patrick Baldwin Jr.,USA,0
1996-03-29,Belle Mead,us,baldwwa01,,Wade Baldwin,USA,0
2001-08-22,Anaheim,us,ballla01,,LaMelo Ball,USA,0
1997-10-27,Anaheim,us,balllo01,,Lonzo Ball,USA,0
1998-05-12,Harlem,us,bambamo01,,Mo Bamba,USA,0
2002-11-12,Seattle,us,banchpa01,,Paolo Banchero,USA,0
1998-06-25,Richmond,us,banede01,,Desmond Bane,USA,0
1999-11-07,Toronto,ca,bantoda01,,Dalano Banton,Canada,1
1982-11-28,Sao Paulo,br,barbole01,,Leandro Barbosa,Brazil,1
1985-10-26,Rome,it,bargnan01,,Andrea Bargnani,Italy,1
2003-05-26,Hackensack,us,barlodo01,,Dominick Barlow,USA,0
1992-05-30,Ames,us,barneha02,,Harrison Barnes,USA,0
1980-03-09,Santa Clara,us,barnema02,,Matt Barnes,USA,0
2001-08-01,West Palm Beach,us,barnesc01,,Scottie Barnes,USA,0
2000-06-14,Toronto,ca,barrerj01,,RJ Barrett,Canada,1
