player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
iversal01,allen iverson,Allen Iverson,1996,1,1,PHI,Georgetown
cambyma01,marcus camby,Marcus Camby,1996,1,2,TOR,UMass
abdursh01,shareef abdur rahim,Shareef Abdur-Rahim,1996,1,3,VAN,California
marbust01,stephon marbury,Stephon Marbury,1996,1,4,MIL,Georgia Tech
allenra02,ray allen,Ray Allen,1996,1,5,MIN,UConn
walkean02,antoine walker,Antoine Walker,1996,1,6,BOS,Kentucky
wrighlo02,lorenzen wright,Lorenzen Wright,1996,1,7,LAC,Memphis
kittlke01,kerry kittles,Kerry Kittles,1996,1,8,NJN,Villanova
walkesa01,samaki walker,Samaki Walker,1996,1,9,DAL,Louisville
dampier01,erick dampier,Erick Dampier,1996,1,10,IND,Mississippi State
fulleto02,todd fuller,Todd Fuller,1996,1,11,GSW,NC State
potapvi01,vitaly potapenko,Vitaly Potapenko,1996,1,12,CLE,Wright State University
bryanko01,kobe bryant,Kobe Bryant,1996,1,13,CHH,
stojape01,peja stojakovic,Peja Stojaković,1996,1,14,SAC,
nashst01,steve nash,Steve Nash,1996,1,15,PHO,Santa Clara
delkto01,tony delk,Tony Delk,1996,1,16,CHH,Kentucky
onealje01,jermaine oneal,Jermaine O'Neal,1996,1,17,POR,
wallajo01,john wallace,John Wallace,1996,1,18,NYK,Syracuse
mccarwa01,walter mccarty,Walter McCarty,1996,1,19,NYK,Kentucky
ilgauzy01,zydrunas ilgauskas,Zydrunas Ilgauskas,1996,1,20,CLE,
jonesdo01,dontae jones,Dontae' Jones,1996,1,21,NYK,Mississippi State
rogerro02,roy rogers,Roy Rogers,1996,1,22,VAN,Alabama
rentzef01,efthimios rentzias,Efthimios Rentzias,1996,1,23,DEN,
fishede01,derek fisher,Derek Fisher,1996,1,24,LAL,Little Rock
muursma01,martin muursepp,Martin Müürsepp,1996,1,25,UTA,
willije01,jerome williams,Jerome Williams,1996,1,26,DET,Georgetown
evansbr01,brian evans,Brian Evans,1996,1,27,ORL,Indiana
laudepr01,priest lauderdale,Priest Lauderdale,1996,1,28,ATL,Central State University
knightr01,travis knight,Travis Knight,1996,1,29,CHI,UConn
harriot01,othella harrington,Othella Harrington,1996,1,30,HOU,Georgetown
hendrma01,mark hendrickson,Mark Hendrickson,1996,2,31,PHI,Washington State
minorry01,ryan minor,Ryan Minor,1996,2,32,PHI,Oklahoma
norrimo01,moochie norris,Moochie Norris,1996,2,33,MIL,University of West Florida
harvesh01,shawn harvey,Shawn Harvey,1996,2,34,DAL,West Virginia State University
blairjo02,joseph blair,Joseph Blair,1996,2,35,SEA,Arizona
sheffdo01,doron sheffer,Doron Sheffer,1996,2,36,LAC,UConn
mcinnje01,jeff mcinnis,Jeff McInnis,1996,2,37,DEN,UNC
hamerst01,steve hamer,Steve Hamer,1996,2,38,BOS,Tennessee
millaru01,russ millard,Russ Millard,1996,2,39,PHO,Iowa
mannma01,marcus mann,Marcus Mann,1996,2,40,GSW,Mississippi Valley State University
sasseja01,jason sasser,Jason Sasser,1996,2,41,SAC,Texas Tech
livinra01,randy livingston,Randy Livingston,1996,2,42,HOU,LSU
davisbe01,ben davis,Ben Davis,1996,2,43,PHO,Arizona
rosema01,malik rose,Malik Rose,1996,2,44,CHH,Drexel
vogeljo01,joe vogel,Joe Vogel,1996,2,45,SEA,Colorado State
brownma01,marcus brown,Marcus Brown,1996,2,46,POR,Murray State
rileyro02,ron riley,Ron Riley,1996,2,47,SEA,Arizona State
feickja01,jamie feick,Jamie Feick,1996,2,48,PHI,Michigan State
mccasam01,amal mccaskill,Amal McCaskill,1996,2,49,ORL,Marquette
bellte01,terrell bell,Terrell Bell,1996,2,50,HOU,Georgia
robinch01,chris robinson,Chris Robinson,1996,2,51,VAN,Western Kentucky
popema01,mark pope,Mark Pope,1996,2,52,IND,Kentucky
nordgje01,jeff nordgaard,Jeff Nordgaard,1996,2,53,MIL,Green Bay
andersh01,shandon anderson,Shandon Anderson,1996,2,54,UTA,Georgia
hendero02,ronnie henderson,Ronnie Henderson,1996,2,55,WSB,LSU
gearyre01,reggie geary,Reggie Geary,1996,2,56,CLE,Arizona
barrydr01,drew barry,Drew Barry,1996,2,57,SEA,Georgia Tech
robinda03,darnell robinson,Darnell Robinson,1996,2,58,DAL,Arkansas
duncati01,tim duncan,Tim Duncan,1997,1,1,SAS,Wake Forest
vanhoke01,keith van horn,Keith Van Horn,1997,1,2,PHI,Utah
billuch01,chauncey billups,Chauncey Billups,1997,1,3,BOS,Colorado
daniean01,antonio daniels,Antonio Daniels,1997,1,4,VAN,Bowling Green
battito01,tony battie,Tony Battie,1997,1,5,DEN,Texas Tech
mercero01,ron mercer,Ron Mercer,1997,1,6,BOS,Kentucky
thomati01,tim thomas,Tim Thomas,1997,1,7,NJN,Villanova
foylead01,adonal foyle,Adonal Foyle,1997,1,8,GSW,Colgate
mcgratr01,tracy mcgrady,Tracy McGrady,1997,1,9,TOR,
fortsda01,danny fortson,Danny Fortson,1997,1,10,MIL,Cincinnati
abdulta01,tariq abdul wahad,Tariq Abdul-Wahad,1997,1,11,SAC,San Jose State
croshau01,austin croshere,Austin Croshere,1997,1,12,IND,Providence
anderde01,derek anderson,Derek Anderson,1997,1,13,CLE,Kentucky
tayloma01,maurice taylor,Maurice Taylor,1997,1,14,LAC,Michigan
catoke01,kelvin cato,Kelvin Cato,1997,1,15,DAL,Iowa State
knighbr01,brevin knight,Brevin Knight,1997,1,16,CLE,Stanford
taylojo01,johnny taylor,Johnny Taylor,1997,1,17,ORL,Chattanooga
anstech01,chris anstey,Chris Anstey,1997,1,18,POR,
pollasc01,scot pollard,Scot Pollard,1997,1,19,DET,Kansas
grantpa01,paul grant,Paul Grant,1997,1,20,MIN,Wisconsin
parkean01,anthony parker,Anthony Parker,1997,1,21,NJN,Bradley
grayed01,ed gray,Ed Gray,1997,1,22,ATL,California
jacksbo01,bobby jackson,Bobby Jackson,1997,1,23,SEA,Minnesota
rhodero01,rodrick rhodes,Rodrick Rhodes,1997,1,24,HOU,USC
thomajo02,john thomas,John Thomas,1997,1,25,NYK,Minnesota
smithch04,charles smith,Charles Smith,1997,1,26,MIA,New Mexico
vaughja01,jacque vaughn,Jacque Vaughn,1997,1,27,UTA,Kansas
boothke01,keith booth,Keith Booth,1997,1,28,CHI,Maryland
zwikkse01,serge zwikker,Serge Zwikker,1997,1,30,HOU,UNC
sanfoma01,mark sanford,Mark Sanford,1997,2,31,MIA,Washington
obannch01,charles obannon,Charles O'Bannon,1997,2,32,DET,UCLA
cottoja02,james cotton,James Cotton,1997,2,33,DEN,Cal State Long Beach
milicma01,marko milic,Marko Milič,1997,2,34,PHI,
wellsbu01,bubba wells,Bubba Wells,1997,2,35,DAL,Austin Peay State University
stewake01,kebu stewart,Kebu Stewart,1997,2,36,PHI,Cal State-Bakersfield
collija01,james collins,James Collins,1997,2,37,PHI,Florida State
jacksma02,marc jackson,Marc Jackson,1997,2,38,GSW,Temple
honeyje01,jerald honeycutt,Jerald Honeycutt,1997,2,39,MIL,Tulane
johnsan02,anthony johnson,Anthony Johnson,1997,2,40,SAC,College of Charleston
elismed01,eddie elisma,Eddie Elisma,1997,2,41,SEA,Georgia Tech
lawsoja01,jason lawson,Jason Lawson,1997,2,42,DEN,Villanova
jacksst02,stephen jackson,Stephen Jackson,1997,2,43,PHO,Butler County Community College
malongo01,gordon malone,Gordon Malone,1997,2,44,MIN,West Virginia
hendece02,cedric henderson,Cedric Henderson,1997,2,45,CLE,Memphis
shammgo01,god shammgod,God Shammgod,1997,2,46,WAS,Providence
washier01,eric washington,Eric Washington,1997,2,47,ORL,Alabama
willial02,alvin williams,Alvin Williams,1997,2,48,POR,Villanova
drobnpr01,predrag drobnjak,Predrag Drobnjak,1997,2,49,WAS,
digbeal01,alain digbeu,Alain Digbeu,1997,2,50,ATL,
crawfch01,chris crawford,Chris Crawford,1997,2,51,ATL,Marquette
wheatde01,dejuan wheat,DeJuan Wheat,1997,2,52,LAL,Louisville
brutocj01,cj bruton,C.J. Bruton,1997,2,53,VAN,Indian Hills Community College
rogerpa01,paul rogers,Paul Rogers,1997,2,54,LAL,Gonzaga
blounma01,mark blount,Mark Blount,1997,2,55,SEA,Pitt
peppebe01,ben pepper,Ben Pepper,1997,2,56,BOS,
erdmana01,nate erdmann,Nate Erdmann,1997,2,57,UTA,Oklahoma
duenaro01,roberto duenas,Roberto Duenas,1997,2,58,CHI,
olowomi01,michael olowokandi,Michael Olowokandi,1998,1,1,LAC,University of the Pacific
bibbymi01,mike bibby,Mike Bibby,1998,1,2,VAN,Arizona
lafrera01,raef lafrentz,Raef LaFrentz,1998,1,3,DEN,Kansas
jamisan01,antawn jamison,Antawn Jamison,1998,1,4,TOR,UNC
cartevi01,vince carter,Vince Carter,1998,1,5,GSW,UNC
traylro01,robert traylor,Robert Traylor,1998,1,6,DAL,Michigan
willija02,jason williams,Jason Williams,1998,1,7,SAC,Florida
hughela01,larry hughes,Larry Hughes,1998,1,8,PHI,Saint Louis
nowitdi01,dirk nowitzki,Dirk Nowitzki,1998,1,9,MIL,
piercpa01,paul pierce,Paul Pierce,1998,1,10,BOS,Kansas
wellsbo01,bonzi wells,Bonzi Wells,1998,1,11,DET,Ball State University
doleami01,michael doleac,Michael Doleac,1998,1,12,ORL,Utah
clarkke01,keon clark,Keon Clark,1998,1,13,ORL,UNLV
dickemi01,michael dickerson,Michael Dickerson,1998,1,14,HOU,Arizona
harprma01,matt harpring,Matt Harpring,1998,1,15,ORL,Georgia Tech
drewbr01,bryce drew,Bryce Drew,1998,1,16,HOU,Valparaiso
nestera01,rasho nesterovic,Rasho Nesterović,1998,1,17,MIN,
turkcmi01,mirsad turkcan,Mirsad Türkcan,1998,1,18,HOU,
garripa01,pat garrity,Pat Garrity,1998,1,19,MIL,Notre Dame
mcleoro01,roshown mcleod,Roshown McLeod,1998,1,20,ATL,Duke
davisri01,ricky davis,Ricky Davis,1998,1,21,CHH,Iowa
