player_id,season,gp,season_length_t,games_missed_t,gp_pct_t,games_missed_lag1,games_missed_3y_cum
abrinal01,2017,68,82,14,0.8292682926829268,,
abrinal01,2018,75,82,7,0.9146341463414634,14.0,14.0
abrinal01,2019,31,82,51,0.3780487804878049,7.0,21.0
achiupr01,2021,61,72,11,0.8472222222222222,,
achiupr01,2022,73,82,9,0.8902439024390244,11.0,11.0
achiupr01,2023,55,82,27,0.6707317073170732,9.0,20.0
achiupr01,2024,74,82,8,0.9024390243902439,27.0,47.0
acyqu01,2016,59,82,23,0.7195121951219512,,
acyqu01,2017,38,82,44,0.4634146341463415,23.0,23.0
acyqu01,2018,70,82,12,0.8536585365853658,44.0,67.0
adamsja01,2019,34,82,48,0.4146341463414634,,
adamsst01,2016,80,82,2,0.975609756097561,,
adamsst01,2017,80,82,2,0.975609756097561,2.0,2.0
adamsst01,2018,76,82,6,0.926829268292683,2.0,4.0
adamsst01,2019,80,82,2,0.975609756097561,6.0,10.0
adamsst01,2020,63,72,9,0.875,2.0,10.0
adamsst01,2021,58,72,14,0.8055555555555556,9.0,17.0
adamsst01,2022,76,82,6,0.926829268292683,14.0,25.0
adamsst01,2023,42,82,40,0.5121951219512195,6.0,29.0
adebaba01,2018,69,82,13,0.8414634146341463,,
adebaba01,2019,82,82,0,1.0,13.0,13.0
adebaba01,2020,72,72,0,1.0,0.0,13.0
adebaba01,2021,64,72,8,0.8888888888888888,0.0,13.0
adebaba01,2022,56,82,26,0.6829268292682927,8.0,8.0
adebaba01,2023,75,82,7,0.9146341463414634,26.0,34.0
adebaba01,2024,71,82,11,0.8658536585365854,7.0,41.0
afflaar01,2016,71,82,11,0.8658536585365854,,
afflaar01,2017,61,82,21,0.7439024390243902,11.0,11.0
afflaar01,2018,53,82,29,0.6463414634146342,21.0,32.0
agbajoc01,2023,59,82,23,0.7195121951219512,,
agbajoc01,2024,78,82,4,0.9512195121951219,23.0,23.0
ajincal01,2016,59,82,23,0.7195121951219512,,
ajincal01,2017,39,82,43,0.47560975609756095,23.0,23.0
aldrico01,2016,60,82,22,0.7317073170731707,,
aldrico01,2017,62,82,20,0.7560975609756098,22.0,22.0
aldrila01,2016,74,82,8,0.9024390243902439,,
aldrila01,2017,72,82,10,0.8780487804878049,8.0,8.0
aldrila01,2018,75,82,7,0.9146341463414634,10.0,18.0
aldrila01,2019,81,82,1,0.9878048780487805,7.0,25.0
aldrila01,2020,53,72,19,0.7361111111111112,1.0,18.0
aldrila01,2021,26,72,46,0.3611111111111111,19.0,27.0
aldrila01,2022,47,82,35,0.573170731707317,46.0,66.0
alexani01,2020,47,72,25,0.6527777777777778,,
alexani01,2021,46,72,26,0.6388888888888888,25.0,25.0
alexani01,2022,65,82,17,0.7926829268292683,26.0,51.0
alexani01,2023,59,82,23,0.7195121951219512,17.0,68.0
alexani01,2024,82,82,0,1.0,23.0,66.0
allengr01,2019,38,82,44,0.4634146341463415,,
allengr01,2020,38,72,34,0.5277777777777778,44.0,44.0
allengr01,2021,50,72,22,0.6944444444444444,34.0,78.0
allengr01,2022,66,82,16,0.8048780487804879,22.0,100.0
allengr01,2023,72,82,10,0.8780487804878049,16.0,72.0
allengr01,2024,75,82,7,0.9146341463414634,10.0,48.0
allenja01,2018,72,82,10,0.8780487804878049,,
allenja01,2019,80,82,2,0.975609756097561,10.0,10.0
allenja01,2020,70,72,2,0.9722222222222222,2.0,12.0
allenja01,2021,63,72,9,0.875,2.0,14.0
allenja01,2022,56,82,26,0.6829268292682927,9.0,13.0
allenja01,2023,68,82,14,0.8292682926829268,26.0,37.0
allenja01,2024,77,82,5,0.9390243902439024,14.0,49.0
allenla01,2016,79,82,3,0.9634146341463414,,
allenla01,2017,61,82,21,0.7439024390243902,3.0,3.0
allento01,2016,64,82,18,0.7804878048780488,,
allento01,2017,71,82,11,0.8658536585365854,18.0,18.0
allento01,2018,22,82,60,0.2682926829268293,11.0,29.0
alvarjo01,2022,54,82,28,0.6585365853658537,,
alvarjo01,2023,61,82,21,0.7439024390243902,28.0,28.0
alvarjo01,2024,56,82,26,0.6829268292682927,21.0,49.0
aminual01,2016,82,82,0,1.0,,
aminual01,2017,61,82,21,0.7439024390243902,0.0,0.0
aminual01,2018,69,82,13,0.8414634146341463,21.0,21.0
aminual01,2019,81,82,1,0.9878048780487805,13.0,34.0
aminual01,2021,23,72,49,0.3194444444444444,1.0,35.0
anderal01,2017,30,82,52,0.36585365853658536,,
anderch01,2016,27,82,55,0.32926829268292684,,
anderja01,2016,51,82,31,0.6219512195121951,,
anderju01,2016,55,82,27,0.6707317073170732,,
anderju01,2017,75,82,7,0.9146341463414634,27.0,27.0
anderju01,2018,38,82,44,0.4634146341463415,7.0,34.0
anderju01,2019,48,82,34,0.5853658536585366,44.0,78.0
anderky01,2016,78,82,4,0.9512195121951219,,
anderky01,2017,72,82,10,0.8780487804878049,4.0,4.0
anderky01,2018,74,82,8,0.9024390243902439,10.0,14.0
anderky01,2019,43,82,39,0.524390243902439,8.0,22.0
anderky01,2020,67,72,5,0.9305555555555556,39.0,57.0
anderky01,2021,69,72,3,0.9583333333333334,5.0,52.0
anderky01,2022,69,82,13,0.8414634146341463,3.0,47.0
anderky01,2023,69,82,13,0.8414634146341463,13.0,21.0
anderky01,2024,79,82,3,0.9634146341463414,13.0,29.0
anderry01,2016,66,82,16,0.8048780487804879,,
anderry01,2017,72,82,10,0.8780487804878049,16.0,16.0
anderry01,2018,66,82,16,0.8048780487804879,10.0,26.0
anderry01,2019,25,82,57,0.3048780487804878,16.0,42.0
antetgi01,2016,80,82,2,0.975609756097561,,
antetgi01,2017,80,82,2,0.975609756097561,2.0,2.0
antetgi01,2018,75,82,7,0.9146341463414634,2.0,4.0
antetgi01,2019,72,82,10,0.8780487804878049,7.0,11.0
antetgi01,2020,63,72,9,0.875,10.0,19.0
antetgi01,2021,61,72,11,0.8472222222222222,9.0,26.0
antetgi01,2022,67,82,15,0.8170731707317073,11.0,30.0
antetgi01,2023,63,82,19,0.7682926829268293,15.0,35.0
antetgi01,2024,73,82,9,0.8902439024390244,19.0,45.0
antetth01,2020,20,72,52,0.2777777777777778,,
antetth01,2021,57,72,15,0.7916666666666666,52.0,52.0
antetth01,2022,48,82,34,0.5853658536585366,15.0,67.0
antetth01,2023,37,82,45,0.45121951219512196,34.0,101.0
anthoca01,2016,72,82,10,0.8780487804878049,,
anthoca01,2017,74,82,8,0.9024390243902439,10.0,10.0
anthoca01,2018,78,82,4,0.9512195121951219,8.0,18.0
anthoca01,2020,58,72,14,0.8055555555555556,4.0,22.0
anthoca01,2021,69,72,3,0.9583333333333334,14.0,26.0
anthoca01,2022,69,82,13,0.8414634146341463,3.0,21.0
anthoco01,2021,47,72,25,0.6527777777777778,,
anthoco01,2022,65,82,17,0.7926829268292683,25.0,25.0
anthoco01,2023,60,82,22,0.7317073170731707,17.0,42.0
anthoco01,2024,81,82,1,0.9878048780487805,22.0,64.0
anunoog01,2018,74,82,8,0.9024390243902439,,
anunoog01,2019,67,82,15,0.8170731707317073,8.0,8.0
anunoog01,2020,69,72,3,0.9583333333333334,15.0,23.0
anunoog01,2021,43,72,29,0.5972222222222222,3.0,26.0
anunoog01,2022,48,82,34,0.5853658536585366,29.0,47.0
anunoog01,2023,67,82,15,0.8170731707317073,34.0,66.0
anunoog01,2024,50,82,32,0.6097560975609756,15.0,78.0
arcidry01,2019,81,82,1,0.9878048780487805,,
arcidry01,2020,58,72,14,0.8055555555555556,1.0,1.0
arcidry01,2021,44,72,28,0.6111111111111112,14.0,15.0
arcidry01,2023,20,82,62,0.24390243902439024,28.0,43.0
arizatr01,2016,81,82,1,0.9878048780487805,,
arizatr01,2017,80,82,2,0.975609756097561,1.0,1.0
arizatr01,2018,67,82,15,0.8170731707317073,2.0,3.0
arizatr01,2019,69,82,13,0.8414634146341463,15.0,18.0
arizatr01,2020,53,72,19,0.7361111111111112,13.0,30.0
arizatr01,2021,30,72,42,0.4166666666666667,19.0,47.0
arizatr01,2022,24,82,58,0.2926829268292683,42.0,74.0
artesro01,2016,35,82,47,0.4268292682926829,,
artesro01,2017,25,82,57,0.3048780487804878,47.0,47.0
arthuda01,2016,70,82,12,0.8536585365853658,,
arthuda01,2017,41,82,41,0.5,12.0,12.0
asikom01,2016,68,82,14,0.8292682926829268,,
asikom01,2017,31,82,51,0.3780487804878049,14.0,14.0
augusdj01,2016,62,82,20,0.7560975609756098,,
augusdj01,2017,78,82,4,0.9512195121951219,20.0,20.0
augusdj01,2018,75,82,7,0.9146341463414634,4.0,24.0
augusdj01,2019,81,82,1,0.9878048780487805,7.0,31.0
augusdj01,2020,57,72,15,0.7916666666666666,1.0,12.0
augusdj01,2021,57,72,15,0.7916666666666666,15.0,23.0
augusdj01,2022,55,82,27,0.6707317073170732,15.0,31.0
avdijde01,2021,54,72,18,0.75,,
avdijde01,2022,82,82,0,1.0,18.0,18.0
avdijde01,2023,76,82,6,0.926829268292683,0.0,18.0
avdijde01,2024,75,82,7,0.9146341463414634,6.0,24.0
aytonde01,2019,71,82,11,0.8658536585365854,,
aytonde01,2020,38,72,34,0.5277777777777778,11.0,11.0
aytonde01,2021,69,72,3,0.9583333333333334,34.0,45.0
aytonde01,2022,58,82,24,0.7073170731707317,3.0,48.0
aytonde01,2023,67,82,15,0.8170731707317073,24.0,61.0
aytonde01,2024,55,82,27,0.6707317073170732,15.0,42.0
azubuud01,2023,36,82,46,0.43902439024390244,,
babbilu01,2016,47,82,35,0.573170731707317,,
babbilu01,2017,68,82,14,0.8292682926829268,35.0,35.0
babbilu01,2018,50,82,32,0.6097560975609756,14.0,49.0
bacondw01,2018,53,82,29,0.6463414634146342,,
bacondw01,2019,43,82,39,0.524390243902439,29.0,29.0
bacondw01,2020,39,72,33,0.5416666666666666,39.0,68.0
bacondw01,2021,72,72,0,1.0,33.0,101.0
badjiib01,2024,22,82,60,0.2682926829268293,,
baglema01,2019,62,82,20,0.7560975609756098,,
baglema01,2021,43,72,29,0.5972222222222222,20.0,20.0
baglema01,2022,48,82,34,0.5853658536585366,29.0,49.0
baglema01,2023,42,82,40,0.5121951219512195,34.0,83.0
baglema01,2024,50,82,32,0.6097560975609756,40.0,103.0
bakerro01,2017,52,82,30,0.6341463414634146,,
bakerro01,2018,29,82,53,0.35365853658536583,30.0,30.0
baldwpa01,2023,31,82,51,0.3780487804878049,,
baldwpa01,2024,38,82,44,0.4634146341463415,51.0,51.0
baldwwa01,2017,33,82,49,0.4024390243902439,,
ballla01,2021,51,72,21,0.7083333333333334,,
ballla01,2022,75,82,7,0.9146341463414634,21.0,21.0
ballla01,2023,36,82,46,0.43902439024390244,7.0,28.0
ballla01,2024,22,82,60,0.2682926829268293,46.0,74.0
balllo01,2018,52,82,30,0.6341463414634146,,
balllo01,2019,47,82,35,0.573170731707317,30.0,30.0
balllo01,2020,63,72,9,0.875,35.0,65.0
balllo01,2021,55,72,17,0.7638888888888888,9.0,74.0
balllo01,2022,35,82,47,0.4268292682926829,17.0,61.0
bambamo01,2019,47,82,35,0.573170731707317,,
bambamo01,2020,62,72,10,0.8611111111111112,35.0,35.0
bambamo01,2021,46,72,26,0.6388888888888888,10.0,45.0
bambamo01,2022,71,82,11,0.8658536585365854,26.0,71.0
bambamo01,2023,49,82,33,0.5975609756097561,11.0,47.0
bambamo01,2024,57,82,25,0.6951219512195121,33.0,70.0
banchpa01,2023,72,82,10,0.8780487804878049,,
banchpa01,2024,80,82,2,0.975609756097561,10.0,10.0
banede01,2021,68,72,4,0.9444444444444444,,
banede01,2022,76,82,6,0.926829268292683,4.0,4.0
banede01,2023,58,82,24,0.7073170731707317,6.0,10.0
banede01,2024,42,82,40,0.5121951219512195,24.0,34.0
bantoda01,2022,64,82,18,0.7804878048780488,,
bantoda01,2023,31,82,51,0.3780487804878049,18.0,18.0
bantoda01,2024,54,82,28,0.6585365853658537,51.0,69.0
barbole01,2016,68,82,14,0.8292682926829268,,
barbole01,2017,67,82,15,0.8170731707317073,14.0,14.0
bargnan01,2016,46,82,36,0.5609756097560976,,
barlodo01,2023,28,82,54,0.34146341463414637,,
barlodo01,2024,33,82,49,0.4024390243902439,54.0,54.0
barneha02,2016,66,82,16,0.8048780487804879,,
barneha02,2017,79,82,3,0.9634146341463414,16.0,16.0
barneha02,2018,77,82,5,0.9390243902439024,3.0,19.0
barneha02,2019,77,82,5,0.9390243902439024,5.0,24.0
barneha02,2020,72,72,0,1.0,5.0,13.0
barneha02,2021,58,72,14,0.8055555555555556,0.0,10.0
barneha02,2022,77,82,5,0.9390243902439024,14.0,19.0
barneha02,2023,82,82,0,1.0,5.0,19.0
barneha02,2024,82,82,0,1.0,0.0,19.0
barnema02,2016,76,82,6,0.926829268292683,,
barnema02,2017,74,82,8,0.9024390243902439,6.0,6.0
barnesc01,2022,74,82,8,0.9024390243902439,,
barnesc01,2023,77,82,5,0.9390243902439024,8.0,8.0
barnesc01,2024,60,82,22,0.7317073170731707,5.0,13.0
barrerj01,2020,56,72,16,0.7777777777777778,,
barrerj01,2021,72,72,0,1.0,16.0,16.0
barrerj01,2022,70,82,12,0.8536585365853658,0.0,16.0
barrerj01,2023,73,82,9,0.8902439024390244,12.0,28.0
barrerj01,2024,58,82,24,0.7073170731707317,9.0,21.0
bartowi01,2016,82,82,0,1.0,,
bartowi01,2017,60,82,22,0.7317073170731707,0.0,0.0
bartowi01,2018,81,82,1,0.9878048780487805,22.0,22.0
bartowi01,2019,43,82,39,0.524390243902439,1.0,23.0
bartowi01,2020,58,72,14,0.8055555555555556,39.0,62.0
bartowi01,2021,56,72,16,0.7777777777777778,14.0,54.0
bartowi01,2022,71,82,11,0.8658536585365854,16.0,69.0
bartowi01,2023,56,82,26,0.6829268292682927,11.0,41.0
bassbr01,2016,66,82,16,0.8048780487804879,,
bassbr01,2017,52,82,30,0.6341463414634146,16.0,16.0
bassech01,2022,23,82,59,0.2804878048780488,,
bassech01,2023,35,82,47,0.4268292682926829,59.0,59.0
bateske01,2019,30,82,52,0.36585365853658536,,
bateske01,2020,44,72,28,0.6111111111111112,52.0,52.0
bateske01,2021,30,72,42,0.4166666666666667,28.0,80.0
bateske01,2022,59,82,23,0.7195121951219512,42.0,122.0
bateske01,2023,67,82,15,0.8170731707317073,23.0,93.0
bateske01,2024,53,82,29,0.6463414634146342,15.0,80.0
batumni01,2016,70,82,12,0.8536585365853658,,
batumni01,2017,77,82,5,0.9390243902439024,12.0,12.0
batumni01,2018,64,82,18,0.7804878048780488,5.0,17.0
batumni01,2019,75,82,7,0.9146341463414634,18.0,35.0
batumni01,2020,22,72,50,0.3055555555555556,7.0,30.0
batumni01,2021,67,72,5,0.9305555555555556,50.0,75.0
batumni01,2022,59,82,23,0.7195121951219512,5.0,62.0
batumni01,2023,78,82,4,0.9512195121951219,23.0,78.0
batumni01,2024,60,82,22,0.7317073170731707,4.0,32.0
bayleje01,2016,52,82,30,0.6341463414634146,,
bayleje01,2018,39,82,43,0.47560975609756095,30.0,30.0
bayleje01,2019,34,82,48,0.4146341463414634,43.0,73.0
baynear01,2016,81,82,1,0.9878048780487805,,
baynear01,2017,75,82,7,0.9146341463414634,1.0,1.0
baynear01,2018,81,82,1,0.9878048780487805,7.0,8.0
baynear01,2019,51,82,31,0.6219512195121951,1.0,9.0
baynear01,2020,42,72,30,0.5833333333333334,31.0,39.0
baynear01,2021,53,72,19,0.7361111111111112,30.0,62.0
bazemke01,2016,75,82,7,0.9146341463414634,,
bazemke01,2017,73,82,9,0.8902439024390244,7.0,7.0
bazemke01,2018,65,82,17,0.7926829268292683,9.0,16.0
bazemke01,2019,67,82,15,0.8170731707317073,17.0,33.0
bazemke01,2020,68,72,4,0.9444444444444444,15.0,41.0
bazemke01,2021,67,72,5,0.9305555555555556,4.0,36.0
bazemke01,2022,39,82,43,0.47560975609756095,5.0,24.0
bazleda01,2020,61,72,11,0.8472222222222222,,
bazleda01,2021,55,72,17,0.7638888888888888,11.0,11.0
bazleda01,2022,69,82,13,0.8414634146341463,17.0,28.0
bazleda01,2023,43,82,39,0.524390243902439,13.0,41.0
bealbr01,2016,55,82,27,0.6707317073170732,,
bealbr01,2017,77,82,5,0.9390243902439024,27.0,27.0
bealbr01,2018,82,82,0,1.0,5.0,32.0
bealbr01,2019,82,82,0,1.0,0.0,32.0
bealbr01,2020,57,72,15,0.7916666666666666,0.0,5.0
bealbr01,2021,60,72,12,0.8333333333333334,15.0,15.0
bealbr01,2022,40,82,42,0.4878048780487805,12.0,27.0
bealbr01,2023,50,82,32,0.6097560975609756,42.0,69.0
bealbr01,2024,53,82,29,0.6463414634146342,32.0,86.0
beaslma01,2017,22,82,60,0.2682926829268293,,
beaslma01,2018,62,82,20,0.7560975609756098,60.0,60.0
beaslma01,2019,81,82,1,0.9878048780487805,20.0,80.0
beaslma01,2020,55,72,17,0.7638888888888888,1.0,81.0
beaslma01,2021,37,72,35,0.5138888888888888,17.0,38.0
beaslma01,2022,79,82,3,0.9634146341463414,35.0,53.0
beaslma01,2023,81,82,1,0.9878048780487805,3.0,55.0
beaslma01,2024,79,82,3,0.9634146341463414,1.0,39.0
beaslmi01,2016,20,82,62,0.24390243902439024,,
beaslmi01,2017,56,82,26,0.6829268292682927,62.0,62.0
beaslmi01,2018,74,82,8,0.9024390243902439,26.0,88.0
beaslmi01,2019,26,82,56,0.3170731707317073,8.0,96.0
