wins,losses,made_playoffs,playoff_round_reached,team_abbr,season,fetch_error,win_pct
48.0,34.0,1,2,ATL,2016,,0.5853658536585366
48.0,34.0,1,1,BOS,2016,,0.5853658536585366
21.0,61.0,0,0,BRK,2016,,0.2560975609756097
42.0,40.0,0,0,CHI,2016,,0.5121951219512195
48.0,34.0,1,1,CHO,2016,,0.5853658536585366
57.0,25.0,1,5,CLE,2016,,0.6951219512195121
42.0,40.0,1,1,DAL,2016,,0.5121951219512195
33.0,49.0,0,0,DEN,2016,,0.4024390243902439
44.0,38.0,1,1,DET,2016,,0.5365853658536586
73.0,9.0,1,4,GSW,2016,,0.8902439024390244
41.0,41.0,1,1,HOU,2016,,0.5
45.0,37.0,1,1,IND,2016,,0.5487804878048781
53.0,29.0,1,1,LAC,2016,,0.6463414634146342
17.0,65.0,0,0,LAL,2016,,0.2073170731707317
42.0,40.0,1,1,MEM,2016,,0.5121951219512195
48.0,34.0,1,2,MIA,2016,,0.5853658536585366
33.0,49.0,0,0,MIL,2016,,0.4024390243902439
29.0,53.0,0,0,MIN,2016,,0.3536585365853658
30.0,52.0,0,0,NOP,2016,,0.3658536585365853
32.0,50.0,0,0,NYK,2016,,0.3902439024390244
55.0,27.0,1,3,OKC,2016,,0.6707317073170732
35.0,47.0,0,0,ORL,2016,,0.4268292682926829
10.0,72.0,0,0,PHI,2016,,0.1219512195121951
23.0,59.0,0,0,PHO,2016,,0.2804878048780488
44.0,38.0,1,2,POR,2016,,0.5365853658536586
33.0,49.0,0,0,SAC,2016,,0.4024390243902439
67.0,15.0,1,2,SAS,2016,,0.8170731707317073
56.0,26.0,1,3,TOR,2016,,0.6829268292682927
40.0,42.0,0,0,UTA,2016,,0.4878048780487805
41.0,41.0,0,0,WAS,2016,,0.5
43.0,39.0,1,1,ATL,2017,,0.524390243902439
53.0,29.0,1,3,BOS,2017,,0.6463414634146342
20.0,62.0,0,0,BRK,2017,,0.2439024390243902
41.0,41.0,1,1,CHI,2017,,0.5
36.0,46.0,0,0,CHO,2017,,0.4390243902439024
51.0,31.0,1,4,CLE,2017,,0.6219512195121951
33.0,49.0,0,0,DAL,2017,,0.4024390243902439
40.0,42.0,0,0,DEN,2017,,0.4878048780487805
37.0,45.0,0,0,DET,2017,,0.4512195121951219
67.0,15.0,1,5,GSW,2017,,0.8170731707317073
55.0,27.0,1,2,HOU,2017,,0.6707317073170732
42.0,40.0,1,1,IND,2017,,0.5121951219512195
51.0,31.0,1,1,LAC,2017,,0.6219512195121951
26.0,56.0,0,0,LAL,2017,,0.3170731707317073
43.0,39.0,1,1,MEM,2017,,0.524390243902439
41.0,41.0,0,0,MIA,2017,,0.5
42.0,40.0,1,1,MIL,2017,,0.5121951219512195
31.0,51.0,0,0,MIN,2017,,0.3780487804878049
34.0,48.0,0,0,NOP,2017,,0.4146341463414634
31.0,51.0,0,0,NYK,2017,,0.3780487804878049
47.0,35.0,1,1,OKC,2017,,0.573170731707317
29.0,53.0,0,0,ORL,2017,,0.3536585365853658
28.0,54.0,0,0,PHI,2017,,0.3414634146341463
24.0,58.0,0,0,PHO,2017,,0.2926829268292683
41.0,41.0,1,1,POR,2017,,0.5
32.0,50.0,0,0,SAC,2017,,0.3902439024390244
61.0,21.0,1,3,SAS,2017,,0.7439024390243902
51.0,31.0,1,2,TOR,2017,,0.6219512195121951
51.0,31.0,1,2,UTA,2017,,0.6219512195121951
49.0,33.0,1,2,WAS,2017,,0.5975609756097561
24.0,58.0,0,0,ATL,2018,,0.2926829268292683
55.0,27.0,1,3,BOS,2018,,0.6707317073170732
28.0,54.0,0,0,BRK,2018,,0.3414634146341463
27.0,55.0,0,0,CHI,2018,,0.3292682926829268
36.0,46.0,0,0,CHO,2018,,0.4390243902439024
50.0,32.0,1,4,CLE,2018,,0.6097560975609756
