team_abbr,team_name,city,state,no_income_tax,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ATL,Atlanta Hawks,Atlanta,Georgia,0,6.00%,6.00%,6.00%,6.00%,6.00%,6.00%,6.00%,6.00%,6.00%,6.00%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.49%,5.39%,5.19%
BOS,Boston Celtics,Boston,Massachusetts,0,5.30%,5.30%,5.30%,5.30%,5.25%,5.25%,5.20%,5.15%,5.10%,5.10%,5.10%,5.05%,5.00%,5.00%,5.00%,9.00%,9.00%,9.00%,9.00%
BKN,Brooklyn Nets,Brooklyn,New York,0,10.50%,10.50%,12.62%,12.62%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,14.78%,14.78%,14.78%,14.78%,14.78%
CHA,Charlotte Hornets,Charlotte,North Carolina,0,8.00%,7.75%,7.75%,7.75%,7.75%,7.75%,5.80%,5.75%,5.75%,5.50%,5.50%,5.25%,5.25%,5.25%,4.99%,4.75%,4.50%,4.25%,3.99%
CHI,Chicago Bulls,Chicago,Illinois,0,3.00%,3.00%,3.00%,5.00%,5.00%,5.00%,5.00%,3.75%,3.75%,3.75%,4.95%,4.95%,4.95%,4.95%,4.95%,4.95%,4.95%,4.95%,4.95%
CLE,Cleveland Cavaliers,Cleveland,Ohio,0,8.87%,8.24%,7.93%,7.93%,8.43%,8.43%,7.89%,7.83%,7.50%,7.50%,7.50%,7.50%,7.30%,7.30%,6.49%,6.49%,6.00%,6.00%,5.25%
DAL,Dallas Mavericks,Dallas,Texas,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
DEN,Denver Nuggets,Denver,Colorado,0,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.63%,4.55%,4.55%,4.40%,4.40%,4.40%,4.40%
DET,Detroit Pistons,Detroit,Michigan,0,6.40%,6.85%,6.85%,6.85%,6.85%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%
GSW,Golden State Warriors,San Francisco,California,0,10.30%,10.30%,10.55%,10.30%,10.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,14.40%,14.40%,14.60%
HOU,Houston Rockets,Houston,Texas,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,Indiana Pacers,Indianapolis,Indiana,0,4.30%,4.30%,4.30%,4.30%,5.02%,5.02%,5.02%,5.07%,5.07%,5.00%,5.25%,5.25%,5.25%,5.25%,5.25%,5.17%,5.07%,5.02%,4.97%
LAC,Los Angeles Clippers,Los Angeles,California,0,10.30%,10.30%,10.55%,10.30%,10.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,14.40%,14.40%,14.60%
LAL,Los Angeles Lakers,Los Angeles,California,0,10.30%,10.30%,10.55%,10.30%,10.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,14.40%,14.40%,14.60%
MEM,Memphis Grizzlies,Memphis,Tennessee,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
MIA,Miami Heat,Miami,Florida,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
MIL,Milwaukee Bucks,Milwaukee,Wisconsin,0,6.75%,6.75%,7.75%,7.75%,7.75%,7.75%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%,7.65%
MIN,Minnesota Timberwolves,Minneapolis,Minnesota,0,7.85%,7.85%,7.85%,7.85%,7.85%,7.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%,9.85%
NOP,New Orleans Pelicans,New Orleans,Louisiana,0,3.90%,3.90%,3.90%,3.90%,3.90%,3.62%,3.62%,3.62%,3.62%,3.62%,3.78%,3.78%,3.78%,3.78%,2.68%,4.25%,4.25%,3.00%,3.00%
NYK,New York Knicks,New York,New York,0,10.50%,10.50%,12.62%,12.62%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,12.70%,14.78%,14.78%,14.78%,14.78%,14.78%
OKC,Oklahoma City Thunder,Oklahoma City,Oklahoma,0,6.25%,5.50%,5.50%,5.50%,5.25%,5.25%,5.25%,5.25%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,4.75%,4.75%,4.75%,4.75%,4.50%
ORL,Orlando Magic,Orlando,Florida,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PHI,Philadelphia 76ers,Philadelphia,Pennsylvania,0,7.37%,7.05%,7.05%,7.05%,7.00%,7.00%,7.00%,6.99%,6.98%,6.97%,6.96%,6.95%,6.94%,6.94%,6.91%,6.86%,6.86%,6.86%,6.81%
PHX,Phoenix Suns,Phoenix,Arizona,0,4.79%,4.54%,4.54%,4.54%,4.54%,4.54%,4.54%,4.54%,4.54%,4.54%,4.54%,4.54%,4.50%,8.00%,4.50%,2.50%,2.50%,2.50%,2.50%
POR,Portland Trail Blazers,Portland,Oregon,0,9.00%,9.00%,11.00%,11.00%,10.60%,10.61%,10.62%,10.62%,10.63%,10.64%,10.65%,10.66%,10.67%,14.68%,14.69%,14.69%,14.69%,14.69%,15.42%
SAC,Sacramento Kings,Sacramento,California,0,10.30%,10.30%,10.55%,10.30%,10.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,13.30%,14.40%,14.40%,14.60%
SAS,San Antonio Spurs,San Antonio,Texas,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TOR,Toronto Raptors,Toronto,Ontario (Canada),0,46.41%,46.41%,46.41%,46.41%,46.41%,46.41%,46.41%,46.41%,49.53%,53.53%,53.53%,53.53%,53.53%,53.53%,53.53%,53.53%,53.53%,53.53%,53.53%
UTA,Utah Jazz,Salt Lake City,Utah,0,5.35%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,5.00%,4.95%,4.95%,4.95%,4.95%,4.85%,4.65%,4.55%,4.50%
WAS,Washington Wizards,Washington,Virginia,0,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%,5.75%
