team_abbr,season,state,no_income_tax,top_marginal_rate,notes
ATL,2016,Georgia,0,NA,NA
ATL,2017,Georgia,0,NA,NA
ATL,2018,Georgia,0,NA,NA
ATL,2019,Georgia,0,NA,NA
ATL,2020,Georgia,0,NA,NA
ATL,2021,Georgia,0,NA,NA
ATL,2022,Georgia,0,NA,NA
ATL,2023,Georgia,0,NA,NA
ATL,2024,Georgia,0,NA,NA
BOS,2016,Massachusetts,0,NA,NA
BOS,2017,Massachusetts,0,NA,NA
BOS,2018,Massachusetts,0,NA,NA
BOS,2019,Massachusetts,0,NA,NA
BOS,2020,Massachusetts,0,NA,NA
BOS,2021,Massachusetts,0,NA,NA
BOS,2022,Massachusetts,0,NA,NA
BOS,2023,Massachusetts,0,NA,NA
BOS,2024,Massachusetts,0,NA,NA
BKN,2016,New York,0,NA,NA
BKN,2017,New York,0,NA,NA
BKN,2018,New York,0,NA,NA
BKN,2019,New York,0,NA,NA
BKN,2020,New York,0,NA,NA
BKN,2021,New York,0,NA,NA
BKN,2022,New York,0,NA,NA
BKN,2023,New York,0,NA,NA
BKN,2024,New York,0,NA,NA
CHA,2016,North Carolina,0,NA,NA
CHA,2017,North Carolina,0,NA,NA
CHA,2018,North Carolina,0,NA,NA
CHA,2019,North Carolina,0,NA,NA
CHA,2020,North Carolina,0,NA,NA
CHA,2021,North Carolina,0,NA,NA
CHA,2022,North Carolina,0,NA,NA
CHA,2023,North Carolina,0,NA,NA
CHA,2024,North Carolina,0,NA,NA
CHI,2016,Illinois,0,NA,NA
CHI,2017,Illinois,0,NA,NA
CHI,2018,Illinois,0,NA,NA
CHI,2019,Illinois,0,NA,NA
CHI,2020,Illinois,0,NA,NA
CHI,2021,Illinois,0,NA,NA
CHI,2022,Illinois,0,NA,NA
CHI,2023,Illinois,0,NA,NA
CHI,2024,Illinois,0,NA,NA
CLE,2016,Ohio,0,NA,NA
CLE,2017,Ohio,0,NA,NA
CLE,2018,Ohio,0,NA,NA
CLE,2019,Ohio,0,NA,NA
CLE,2020,Ohio,0,NA,NA
CLE,2021,Ohio,0,NA,NA
CLE,2022,Ohio,0,NA,NA
CLE,2023,Ohio,0,NA,NA
CLE,2024,Ohio,0,NA,NA
DAL,2016,Texas,1,NA,NA
DAL,2017,Texas,1,NA,NA
DAL,2018,Texas,1,NA,NA
DAL,2019,Texas,1,NA,NA
DAL,2020,Texas,1,NA,NA
DAL,2021,Texas,1,NA,NA
DAL,2022,Texas,1,NA,NA
DAL,2023,Texas,1,NA,NA
DAL,2024,Texas,1,NA,NA
DEN,2016,Colorado,0,NA,NA
DEN,2017,Colorado,0,NA,NA
DEN,2018,Colorado,0,NA,NA
DEN,2019,Colorado,0,NA,NA
DEN,2020,Colorado,0,NA,NA
DEN,2021,Colorado,0,NA,NA
DEN,2022,Colorado,0,NA,NA
DEN,2023,Colorado,0,NA,NA
DEN,2024,Colorado,0,NA,NA
DET,2016,Michigan,0,NA,NA
DET,2017,Michigan,0,NA,NA
DET,2018,Michigan,0,NA,NA
DET,2019,Michigan,0,NA,NA
DET,2020,Michigan,0,NA,NA
DET,2021,Michigan,0,NA,NA
DET,2022,Michigan,0,NA,NA
DET,2023,Michigan,0,NA,NA
