player_id,player_clean,player_name,draft_year,draft_round,draft_pick,draft_team,college
banchpa01,paolo banchero,Paolo Banchero,2022,1,1,ORL,Duke
holmgch01,chet holmgren,Chet Holmgren,2022,1,2,OKC,Gonzaga
smithja05,jabari smith,Jabari Smith Jr.,2022,1,3,HOU,Auburn
murrake02,keegan murray,Keegan Murray,2022,1,4,SAC,Iowa
iveyja01,jaden ivey,Jaden Ivey,2022,1,5,DET,Purdue
mathube01,bennedict mathurin,Bennedict Mathurin,2022,1,6,IND,Arizona
sharpsh01,shaedon sharpe,Shaedon Sharpe,2022,1,7,POR,Kentucky
daniedy01,dyson daniels,Dyson Daniels,2022,1,8,NOP,
sochaje01,jeremy sochan,Jeremy Sochan,2022,1,9,SAS,Baylor
davisjo06,johnny davis,Johnny Davis,2022,1,10,WAS,Wisconsin
diengou01,ousmane dieng,Ousmane Dieng,2022,1,11,NYK,
willija06,jalen williams,Jalen Williams,2022,1,12,OKC,Santa Clara
durenja01,jalen duren,Jalen Duren,2022,1,13,CHO,Memphis
agbajoc01,ochai agbaji,Ochai Agbaji,2022,1,14,CLE,Kansas
willima07,mark williams,Mark Williams,2022,1,15,CHO,Duke
griffaj01,aj griffin,AJ Griffin,2022,1,16,ATL,Duke
easonta01,tari eason,Tari Eason,2022,1,17,HOU,LSU
terryda01,dalen terry,Dalen Terry,2022,1,18,CHI,Arizona
laravja01,jake laravia,Jake LaRavia,2022,1,19,MIN,Wake Forest
branhma01,malaki branham,Malaki Branham,2022,1,20,SAS,Ohio State
braunch01,christian braun,Christian Braun,2022,1,21,DEN,Kansas
kesslwa01,walker kessler,Walker Kessler,2022,1,22,MEM,Auburn
roddyda01,david roddy,David Roddy,2022,1,23,PHI,Colorado State
beaucma01,marjon beauchamp,MarJon Beauchamp,2022,1,24,MIL,
weslebl01,blake wesley,Blake Wesley,2022,1,25,SAS,Notre Dame
moorewe01,wendell moore,Wendell Moore Jr.,2022,1,26,DAL,Duke
jovicni01,nikola jovic,Nikola Jović,2022,1,27,MIA,
baldwpa01,patrick baldwin,Patrick Baldwin Jr.,2022,1,28,GSW,UW-Milwaukee
washity02,tyty washington,TyTy Washington Jr.,2022,1,29,MEM,Kentucky
watsope01,peyton watson,Peyton Watson,2022,1,30,OKC,UCLA
nembhan01,andrew nembhard,Andrew Nembhard,2022,2,31,IND,Gonzaga
houstca01,caleb houstan,Caleb Houstan,2022,2,32,ORL,Michigan
kolokch01,christian koloko,Christian Koloko,2022,2,33,TOR,Arizona
willija07,jaylin williams,Jaylin Williams,2022,2,34,OKC,Arkansas
chrisma02,max christie,Max Christie,2022,2,35,LAL,Michigan State
prociga01,gabriele procida,Gabriele Procida,2022,2,36,POR,
hardyja02,jaden hardy,Jaden Hardy,2022,2,37,SAC,
chandke01,kennedy chandler,Kennedy Chandler,2022,2,38,SAS,Tennessee
diopkh01,khalifa diop,Khalifa Diop,2022,2,39,CLE,
mcgowbr01,bryce mcgowens,Bryce McGowens,2022,2,40,MIN,Nebraska
liddeej01,ej liddell,E.J. Liddell,2022,2,41,NOP,Ohio State
keelstr01,trevor keels,Trevor Keels,2022,2,42,NYK,Duke
diabamo01,moussa diabate,Moussa Diabaté,2022,2,43,LAC,Michigan
rolliry01,ryan rollins,Ryan Rollins,2022,2,44,ATL,Toledo
minotjo01,josh minott,Josh Minott,2022,2,45,CHO,Memphis
kamagis01,ismael kamagate,Ismael Kamagate,2022,2,46,DET,
willivi01,vince williams,Vince Williams Jr.,2022,2,47,MEM,VCU
brownke03,kendall brown,Kendall Brown,2022,2,48,MIN,Baylor
mobleis01,isaiah mobley,Isaiah Mobley,2022,2,49,CLE,USC
spagnma01,matteo spagnolo,Matteo Spagnolo,2022,2,50,MIN,
martity01,tyrese martin,Tyrese Martin,2022,2,51,GSW,UConn
matkoka01,karlo matkovic,Karlo Matković,2022,2,52,NOP,
davisjd01,jd davison,JD Davison,2022,2,53,BOS,Alabama
nzosaya01,yannick nzosa,Yannick Nzosa,2022,2,54,WAS,
santogu01,gui santos,Gui Santos,2022,2,55,GSW,
travelu01,luke travers,Luke Travers,2022,2,56,CLE,
walkeja01,jabari walker,Jabari Walker,2022,2,57,POR,Colorado
bessohu01,hugo besson,Hugo Besson,2022,2,58,IND,
