player_clean,player_name,player_slug_hh,season,salary_usd
stephen curry,Stephen Curry,stephen-curry,2022,45780966.0
james harden,James Harden,james-harden,2022,44310840.0
john wall,John Wall,john-wall,2022,44310840.0
russell westbrook,Russell Westbrook,russell-westbrook,2022,44211146.0
kevin durant,Kevin Durant,kevin-durant,2022,42018900.0
lebron james,LeBron James,lebron-james,2022,41180544.0
paul george,Paul George,paul-george,2022,39344970.0
kawhi leonard,Kawhi Leonard,kawhi-leonard,2022,39344900.0
giannis antetokounmpo,Giannis Antetokounmpo,giannis-antetokounmpo,2022,39344900.0
damian lillard,Damian Lillard,damian-lillard,2022,39344900.0
klay thompson,Klay Thompson,klay-thompson,2022,37980720.0
jimmy butler,Jimmy Butler,jimmy-butler,2022,36016200.0
tobias harris,Tobias Harris,tobias-harris,2022,35995950.0
khris middleton,Khris Middleton,khris-middleton,2022,35500000.0
anthony davis,Anthony Davis,anthony-davis,2022,35361360.0
rudy gobert,Rudy Gobert,rudy-gobert,2022,35344828.0
kyrie irving,Kyrie Irving,kyrie-irving,2022,35328700.0
kemba walker,Kemba Walker,kemba-walker,2022,34967442.0
bradley beal,Bradley Beal,bradley-beal,2022,33724200.0
pascal siakam,Pascal Siakam,pascal-siakam,2022,33003936.0
ben simmons,Ben Simmons,ben-simmons,2022,33003936.0
blake griffin,Blake Griffin,blake-griffin,2022,32405817.0
karl anthony towns,Karl-Anthony Towns,karl-anthony-towns,2022,31650600.0
devin booker,Devin Booker,devin-booker,2022,31650600.0
kristaps porzingis,Kristaps Porzingis,kristaps-porzingis,2022,31650600.0
andrew wiggins,Andrew Wiggins,andrew-wiggins,2022,31579390.0
joel embiid,Joel Embiid,joel-embiid,2022,31579390.0
kevin love,Kevin Love,kevin-love,2022,31258256.0
jrue holiday,Jrue Holiday,jrue-holiday,2022,31171333.0
nikola jokic,Nikola Jokic,nikola-jokic,2022,31044906.0
cj mccollum,CJ McCollum,cj-mccollum,2022,30864198.0
chris paul,Chris Paul,chris-paul,2022,30800000.0
dangelo russell,D'Angelo Russell,dangelo-russell,2022,30013500.0
gordon hayward,Gordon Hayward,gordon-hayward,2022,29925000.0
jamal murray,Jamal Murray,jamal-murray,2022,29467800.0
brandon ingram,Brandon Ingram,brandon-ingram,2022,29467800.0
donovan mitchell,Donovan Mitchell,donovan-mitchell,2022,28103500.0
deaaron fox,De'Aaron Fox,deaaron-fox,2022,28103500.0
bam adebayo,Bam Adebayo,bam-adebayo,2022,28103500.0
jayson tatum,Jayson Tatum,jayson-tatum,2022,28103500.0
al horford,Al Horford,al-horford,2022,27000000.0
kyle lowry,Kyle Lowry,kyle-lowry,2022,26984128.0
jaylen brown,Jaylen Brown,jaylen-brown,2022,26758928.0
demar derozan,DeMar DeRozan,demar-derozan,2022,26000000.0
draymond green,Draymond Green,draymond-green,2022,24026712.0
nikola vucevic,Nikola Vucevic,nikola-vucevic,2022,24000000.0
buddy hield,Buddy Hield,buddy-hield,2022,23073234.0
john collins,John Collins,john-collins,2022,23000000.0
malcolm brogdon,Malcolm Brogdon,malcolm-brogdon,2022,21700000.0
tim hardaway,Tim Hardaway Jr,tim-hardaway-jr,2022,21306816.0
mike conley,Mike Conley,mike-conley,2022,21000000.0
gary harris,Gary Harris,gary-harris,2022,20932143.0
danilo gallinari,Danilo Gallinari,danilo-gallinari,2022,20475000.0
harrison barnes,Harrison Barnes,harrison-barnes,2022,20284091.0
jerami grant,Jerami Grant,jerami-grant,2022,20002500.0
jarrett allen,Jarrett Allen,jarrett-allen,2022,20000000.0
julius randle,Julius Randle,julius-randle,2022,19800000.0
fred vanvleet,Fred VanVleet,fred-vanvleet,2022,19675926.0
zach lavine,Zach LaVine,zach-lavine,2022,19500000.0
goran dragic,Goran Dragic,goran-dragic,2022,19348907.0
spencer dinwiddie,Spencer Dinwiddie,spencer-dinwiddie,2022,19314284.0
bojan bogdanovic,Bojan Bogdanovic,bojan-bogdanovic,2022,18700000.0
lonzo ball,Lonzo Ball,lonzo-ball,2022,18604651.0
domantas sabonis,Domantas Sabonis,domantas-sabonis,2022,18500000.0
eric gordon,Eric Gordon,eric-gordon,2022,18218818.0
eric bledsoe,Eric Bledsoe,eric-bledsoe,2022,18125000.0
myles turner,Myles Turner,myles-turner,2022,18000000.0
bogdan bogdanovic,Bogdan Bogdanovic,bogdan-bogdanovic,2022,18000000.0
terry rozier,Terry Rozier,terry-rozier,2022,17905263.0
ricky rubio,Ricky Rubio,ricky-rubio,2022,17800000.0
clint capela,Clint Capela,clint-capela,2022,17603448.0
caris levert,Caris LeVert,caris-levert,2022,17500000.0
