spec,cy_var,dv,controls,n,n_cy_1,beta_cy,se_cy,p_cy,MDE_cy,r2
(а) full V1: dln_salary ~ stats + struct + cy,cy_exogenous,dln_salary,"ppg,rpg,apg,mpg,gp,per,ws,vorp,usg_pct,age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2054,715,-0.005133238210632885,0.026088305371026823,0.8440319929007536,0.0730472550388751,0.12697982822189213
(б) no stats: dln_salary ~ struct + cy,cy_exogenous,dln_salary,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2054,715,-0.03522805305538521,0.026409403948285004,0.18237907975711942,0.073946331055198,0.09357965560250314
(в) minimal: dln_salary ~ age+pos+exp + cy,cy_exogenous,dln_salary,"age,age_sq,experience,pos_PG,pos_SG,pos_SF,pos_PF",2054,715,-0.0501695468424215,0.02654835178747809,0.05893422174488627,0.07433538500493865,0.0827419392778963
(г) cap-share DV: dln(salary/cap) ~ stats + struct + cy,cy_exogenous,dln_cap_share,"ppg,rpg,apg,mpg,gp,per,ws,vorp,usg_pct,age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2054,715,-0.005133238210632721,0.026088305371026833,0.8440319929007585,0.07304725503887513,0.12697982822189224
"(г') cap-share DV, no stats",cy_exogenous,dln_cap_share,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2054,715,-0.03522805305538511,0.026409403948285056,0.18237907975712142,0.07394633105519816,0.09357965560250336
(е) ratio: salary_next/salary - 1 ~ struct + cy,cy_exogenous,ratio_minus_1,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2054,715,-0.03183043647721773,0.06670677587645327,0.6332926928415947,0.18677897245406913,0.055455448245120054
(а) full V1: dln_salary ~ stats + struct + cy,contract_year,dln_salary,"ppg,rpg,apg,mpg,gp,per,ws,vorp,usg_pct,age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2124,1047,0.4544833561715271,0.02187715426451843,0.0,0.0612560319406516,0.26295082434563544
(б) no stats: dln_salary ~ struct + cy,contract_year,dln_salary,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2124,1047,0.4326326110482324,0.02173495373084079,0.0,0.060857870446354205,0.21993776636014428
(в) minimal: dln_salary ~ age+pos+exp + cy,contract_year,dln_salary,"age,age_sq,experience,pos_PG,pos_SG,pos_SF,pos_PF",2124,1047,0.4298138113719437,0.022183616018405048,0.0,0.06211412485153413,0.20807204992204353
(г) cap-share DV: dln(salary/cap) ~ stats + struct + cy,contract_year,dln_cap_share,"ppg,rpg,apg,mpg,gp,per,ws,vorp,usg_pct,age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2124,1047,0.45448335617152796,0.021877154264518653,0.0,0.061256031940652225,0.26295082434563555
"(г') cap-share DV, no stats",contract_year,dln_cap_share,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2124,1047,0.4326326110482332,0.021734953730840705,0.0,0.06085787044635397,0.21993776636014484
(е) ratio: salary_next/salary - 1 ~ struct + cy,contract_year,ratio_minus_1,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2124,1047,1.117290458560882,0.06157215173690446,0.0,0.17240202486333248,0.16708773417110157
(а) full V1: dln_salary ~ stats + struct + cy,cy_walk_back,dln_salary,"ppg,rpg,apg,mpg,gp,per,ws,vorp,usg_pct,age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2392,596,0.20864122071204605,0.035284075043954755,3.841685192185196e-09,0.0987954101230733,0.13818620532981474
(б) no stats: dln_salary ~ struct + cy,cy_walk_back,dln_salary,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2392,596,0.19134020875838453,0.036422439519909,1.6265107349866526e-07,0.10198283065574519,0.1011005565237193
(в) minimal: dln_salary ~ age+pos+exp + cy,cy_walk_back,dln_salary,"age,age_sq,experience,pos_PG,pos_SG,pos_SF,pos_PF",2392,596,0.1920701930416447,0.03662675797137461,1.7102286919978837e-07,0.1025549223198489,0.0899037938106938
(г) cap-share DV: dln(salary/cap) ~ stats + struct + cy,cy_walk_back,dln_cap_share,"ppg,rpg,apg,mpg,gp,per,ws,vorp,usg_pct,age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2392,596,0.20864122071204613,0.035284075043954886,3.841685192185196e-09,0.09879541012307368,0.13818620532981452
"(г') cap-share DV, no stats",cy_walk_back,dln_cap_share,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2392,596,0.19134020875838467,0.036422439519909165,1.6265107349866526e-07,0.10198283065574566,0.10110055652371974
(е) ratio: salary_next/salary - 1 ~ struct + cy,cy_walk_back,ratio_minus_1,"age,age_sq,experience,allstar,undrafted,log_draft_pick,pos_PG,pos_SG,pos_SF,pos_PF",2392,596,0.7527470594454876,0.09860998185376277,3.2862601528904634e-14,0.2761079491905357,0.09313011885563083
