variable,"M1a (pooled, basic)","M1b (basic, year FE)","M1c (combined, year FE)","M1d (combined, player+year FE)"
const,"8.2122***
(0.5216)","8.5231***
(0.5146)","7.8193***
(0.5495)",
ppg,"0.0320***
(0.0056)","0.0311***
(0.0056)","0.0133
(0.0130)","0.0312
(0.0204)"
rpg,"0.0209*
(0.0115)","0.0234**
(0.0115)","0.0288**
(0.0123)","0.0845***
(0.0273)"
apg,"0.0536***
(0.0147)","0.0475***
(0.0146)","0.0540***
(0.0163)","0.0516*
(0.0270)"
spg,"0.0686
(0.0524)","0.0798
(0.0520)",,
bpg,"0.0204
(0.0463)","0.0149
(0.0465)",,
mpg,"0.0316***
(0.0049)","0.0332***
(0.0050)","0.0403***
(0.0073)","0.0163
(0.0126)"
gp,"0.0031***
(0.0010)","0.0025**
(0.0010)","0.0013
(0.0012)","0.0016
(0.0015)"
fg_pct,"-1.1271***
(0.2555)","-1.2202***
(0.2538)",,
fg3_pct,"-0.2459*
(0.1340)","-0.2663**
(0.1332)",,
ft_pct,"-0.0575
(0.1398)","-0.0668
(0.1383)",,
age,"0.4294***
(0.0375)","0.4306***
(0.0371)","0.4338***
(0.0373)",
age_sq,"-0.0062***
(0.0007)","-0.0062***
(0.0007)","-0.0063***
(0.0007)",
experience,"0.0058
(0.0107)","0.0045
(0.0106)","0.0033
(0.0107)","-0.1053***
(0.0357)"
allstar,"-0.0074
(0.0625)","0.0028
(0.0633)","0.0050
(0.0648)","0.0049
(0.0750)"
undrafted,"-0.3519***
(0.0733)","-0.3630***
(0.0727)","-0.3645***
(0.0730)",
log_draft_pick,"-0.2080***
(0.0209)","-0.2066***
(0.0207)","-0.2094***
(0.0211)",
pos_PG,"-0.3967***
(0.0802)","-0.3892***
(0.0801)","-0.3691***
(0.0752)","0.1313
(0.1898)"
pos_SG,"-0.2490***
(0.0706)","-0.2512***
(0.0704)","-0.2399***
(0.0664)","0.1521
(0.1630)"
pos_SF,"-0.1705***
(0.0632)","-0.1797***
(0.0629)","-0.1651***
(0.0601)","0.2793**
(0.1348)"
pos_PF,"-0.1012*
(0.0542)","-0.1069**
(0.0540)","-0.1007*
(0.0514)","0.1107
(0.0991)"
post_cba_2017,"0.2328***
(0.0349)",,,
post_covid,"0.2049***
(0.0314)",,,
per,,,"-0.0247***
(0.0084)","-0.0437***
(0.0120)"
ws,,,"0.0172
(0.0195)","-0.0184
(0.0294)"
vorp,,,"0.0157
(0.0370)","0.0716
(0.0572)"
usg_pct,,,"0.0194**
(0.0076)","0.0365***
(0.0118)"
N,3660,3660,3660,3660
R²,0.6424,0.6428,0.6412,0.2262
R² within,0.3801,0.3347,0.3374,-0.2045
R² between,0.6946,0.6689,0.6705,0.1024
