variable,M2a (base),M2b (+no_income_tax),M2c (+state_tax_rate),"M2d (within, +no_income_tax)"
const,"7.8325***
(0.5674)","7.8389***
(0.5700)","7.8442***
(0.5662)",
ppg,"0.0151
(0.0135)","0.0148
(0.0134)","0.0162
(0.0134)","0.0370
(0.0229)"
rpg,"0.0307**
(0.0123)","0.0305**
(0.0122)","0.0311**
(0.0122)","0.0961***
(0.0293)"
apg,"0.0544***
(0.0172)","0.0542***
(0.0171)","0.0548***
(0.0172)","0.0558**
(0.0283)"
mpg,"0.0373***
(0.0076)","0.0375***
(0.0075)","0.0367***
(0.0075)","0.0101
(0.0140)"
gp,"0.0005
(0.0013)","0.0005
(0.0013)","0.0006
(0.0012)","0.0006
(0.0017)"
per,"-0.0300***
(0.0086)","-0.0300***
(0.0086)","-0.0301***
(0.0085)","-0.0554***
(0.0130)"
ws,"0.0277
(0.0211)","0.0277
(0.0211)","0.0272
(0.0211)","-0.0029
(0.0328)"
vorp,"0.0131
(0.0398)","0.0135
(0.0397)","0.0124
(0.0398)","0.0690
(0.0637)"
usg_pct,"0.0193**
(0.0079)","0.0195**
(0.0079)","0.0186**
(0.0079)","0.0341***
(0.0131)"
age,"0.4471***
(0.0388)","0.4463***
(0.0391)","0.4489***
(0.0389)",
age_sq,"-0.0067***
(0.0007)","-0.0066***
(0.0007)","-0.0067***
(0.0007)",
experience,"0.0068
(0.0117)","0.0068
(0.0118)","0.0066
(0.0117)","-0.1141***
(0.0422)"
allstar,"0.0132
(0.0672)","0.0126
(0.0671)","0.0158
(0.0675)","0.0002
(0.0806)"
undrafted,"-0.3626***
(0.0795)","-0.3615***
(0.0801)","-0.3657***
(0.0797)",
log_draft_pick,"-0.2135***
(0.0224)","-0.2132***
(0.0224)","-0.2143***
(0.0223)",
pos_PG,"-0.3588***
(0.0776)","-0.3589***
(0.0777)","-0.3575***
(0.0779)","0.1276
(0.2042)"
pos_SG,"-0.2434***
(0.0690)","-0.2435***
(0.0691)","-0.2423***
(0.0690)","0.0866
(0.1794)"
pos_SF,"-0.1699***
(0.0621)","-0.1699***
(0.0622)","-0.1702***
(0.0621)","0.1965
(0.1446)"
pos_PF,"-0.1098**
(0.0555)","-0.1096**
(0.0556)","-0.1100**
(0.0554)","0.0489
(0.1144)"
no_income_tax,,"-0.0108
(0.0392)",,"0.0611
(0.0733)"
state_tax_rate,,,"-0.3598
(0.3275)",
N,3045,3045,3045,3045
R²,0.6564,0.6564,0.6566,0.2268
R² within,0.3561,0.3559,0.3566,-0.2337
R² between,0.6603,0.6603,0.6608,0.0669
