variable,M3a (level),M3b (level + interactions),"M3c (Δ ln_salary, canonical)",M3d (within)
const,"7.7076***
(0.6598)","7.6551***
(0.6561)","0.2747
(0.4427)",
ppg,"-0.0013
(0.0137)","-0.0025
(0.0135)","-0.0017
(0.0094)","0.0296
(0.0234)"
rpg,"0.0207*
(0.0124)","0.0195
(0.0125)","-0.0184**
(0.0086)","0.0616**
(0.0311)"
apg,"0.0367**
(0.0168)","0.0364**
(0.0169)","0.0006
(0.0108)","0.0368
(0.0296)"
mpg,"0.0404***
(0.0079)","0.0415***
(0.0080)","0.0106**
(0.0053)","0.0129
(0.0150)"
gp,"-0.0027**
(0.0013)","-0.0026*
(0.0014)","0.0001
(0.0010)","-0.0017
(0.0018)"
per,"-0.0427***
(0.0095)","-0.0386***
(0.0102)","0.0305***
(0.0064)","-0.0629***
(0.0162)"
ws,"0.0382*
(0.0210)","0.0373*
(0.0210)","0.0194
(0.0156)","0.0127
(0.0312)"
vorp,"0.0255
(0.0410)","0.0250
(0.0410)","-0.0173
(0.0255)","0.0679
(0.0651)"
usg_pct,"0.0310***
(0.0083)","0.0314***
(0.0083)","-0.0058
(0.0059)","0.0357**
(0.0147)"
age,"0.4988***
(0.0462)","0.4974***
(0.0466)","-0.0435
(0.0323)",
age_sq,"-0.0078***
(0.0009)","-0.0077***
(0.0009)","0.0000
(0.0006)",
experience,"0.0358***
(0.0136)","0.0359***
(0.0136)","-0.0009
(0.0082)","-0.0961*
(0.0535)"
allstar,"0.0390
(0.0606)","0.0236
(0.0756)","-0.0259
(0.0516)","0.0347
(0.0752)"
undrafted,"-0.1812*
(0.0930)","-0.1798*
(0.0930)","0.1919***
(0.0627)",
log_draft_pick,"-0.2263***
(0.0234)","-0.2269***
(0.0234)","0.0755***
(0.0143)",
pos_PG,"-0.3744***
(0.0788)","-0.3776***
(0.0792)","0.0486
(0.0540)","0.0540
(0.1978)"
pos_SG,"-0.3047***
(0.0733)","-0.3070***
(0.0735)","0.1383***
(0.0490)","0.0976
(0.1692)"
pos_SF,"-0.2765***
(0.0672)","-0.2776***
(0.0673)","0.1330***
(0.0445)","0.1489
(0.1415)"
pos_PF,"-0.1934***
(0.0594)","-0.1934***
(0.0593)","0.0781*
(0.0411)","0.0264
(0.1188)"
contract_year,"-0.4127***
(0.0237)","-0.3262***
(0.0875)","0.2962***
(0.0195)","-0.3470***
(0.0295)"
cy_x_ppg,,"-0.0008
(0.0056)",,
cy_x_per,,"-0.0054
(0.0074)",,
cy_x_allstar,,"0.0339
(0.1051)",,
N,2445,2445,2392,2445
R²,0.7002,0.7003,0.1692,0.2686
R² within,0.4558,0.4560,0.1448,-0.1193
R² between,0.7152,0.7149,0.1552,0.0088
