variable,R1 (full),R2 (excl <$1M),R3 (excl rookies),R4 (cy=team only),R5 (cy=salary only)
const,"7.7482***
(0.6758)","8.4591***
(0.6128)","8.7927***
(0.6429)","7.9469***
(0.7004)","7.9073***
(0.6382)"
ppg,"-0.0020
(0.0142)","0.0064
(0.0128)","0.0046
(0.0141)","0.0027
(0.0155)","0.0039
(0.0138)"
rpg,"0.0228*
(0.0127)","0.0264**
(0.0124)","0.0209*
(0.0124)","0.0254*
(0.0136)","0.0196
(0.0123)"
apg,"0.0365**
(0.0172)","0.0397**
(0.0167)","0.0307*
(0.0173)","0.0442**
(0.0184)","0.0347**
(0.0172)"
mpg,"0.0395***
(0.0081)","0.0330***
(0.0075)","0.0351***
(0.0079)","0.0382***
(0.0087)","0.0382***
(0.0080)"
gp,"-0.0023*
(0.0014)","-0.0070***
(0.0013)","-0.0036**
(0.0014)","-0.0018
(0.0014)","-0.0023*
(0.0013)"
per,"-0.0417***
(0.0098)","-0.0455***
(0.0089)","-0.0429***
(0.0097)","-0.0425***
(0.0104)","-0.0357***
(0.0095)"
ws,"0.0334
(0.0219)","0.0525**
(0.0218)","0.0293
(0.0219)","0.0407*
(0.0233)","0.0379*
(0.0219)"
vorp,"0.0297
(0.0427)","0.0046
(0.0412)","0.0442
(0.0434)","0.0135
(0.0449)","0.0161
(0.0429)"
usg_pct,"0.0310***
(0.0086)","0.0263***
(0.0080)","0.0220**
(0.0086)","0.0307***
(0.0091)","0.0254***
(0.0084)"
age,"0.4960***
(0.0474)","0.4819***
(0.0438)","0.4874***
(0.0451)","0.4619***
(0.0482)","0.4783***
(0.0451)"
age_sq,"-0.0077***
(0.0009)","-0.0079***
(0.0008)","-0.0098***
(0.0009)","-0.0071***
(0.0009)","-0.0076***
(0.0009)"
experience,"0.0339**
(0.0141)","0.0563***
(0.0136)","0.1594***
(0.0159)","0.0328**
(0.0142)","0.0425***
(0.0139)"
allstar,"0.0441
(0.0650)","0.0787
(0.0633)","0.0445
(0.0636)","0.0592
(0.0709)","0.0608
(0.0618)"
undrafted,"-0.1994**
(0.0959)","0.1244
(0.1039)",,"-0.2145**
(0.0978)","-0.1155
(0.0922)"
log_draft_pick,"-0.2317***
(0.0240)","-0.2018***
(0.0227)","-0.1896***
(0.0236)","-0.2340***
(0.0247)","-0.2159***
(0.0239)"
pos_PG,"-0.3652***
(0.0816)","-0.3160***
(0.0812)","-0.2844***
(0.0858)","-0.3905***
(0.0874)","-0.3428***
(0.0828)"
pos_SG,"-0.2965***
(0.0752)","-0.2364***
(0.0736)","-0.2123***
(0.0756)","-0.3012***
(0.0798)","-0.2667***
(0.0748)"
pos_SF,"-0.2645***
(0.0685)","-0.2445***
(0.0671)","-0.1770**
(0.0703)","-0.2524***
(0.0715)","-0.2311***
(0.0679)"
pos_PF,"-0.1775***
(0.0611)","-0.1583***
(0.0572)","-0.1456**
(0.0634)","-0.1640**
(0.0647)","-0.1439**
(0.0603)"
no_income_tax,"-0.0184
(0.0421)","0.0168
(0.0430)","0.0212
(0.0450)","-0.0084
(0.0444)","-0.0113
(0.0418)"
contract_year,"-0.4072***
(0.0243)","-0.3409***
(0.0237)","-0.3992***
(0.0250)",,
contract_year_B,,,,"-0.0594**
(0.0291)",
contract_year_A,,,,,"-0.4838***
(0.0277)"
N,2357,2192,2034,2357,2357
R²,0.6965,0.6709,0.7160,0.6655,0.7062
R² within,0.4374,0.4383,0.4759,0.3722,0.4679
R² between,0.7157,0.6905,0.7427,0.6929,0.7197
