variable,"M1a (pooled, basic)","M1b (basic, year FE)","M1c (combined, year FE)","M1d (combined, player+year FE)"
const,"8.6429***
(0.5174)","8.9124***
(0.5102)","8.2716***
(0.5507)",
ppg,"0.0312***
(0.0055)","0.0303***
(0.0056)","0.0179
(0.0132)","0.0288
(0.0202)"
rpg,"0.0176
(0.0112)","0.0202*
(0.0112)","0.0267**
(0.0122)","0.0848***
(0.0272)"
apg,"0.0517***
(0.0148)","0.0460***
(0.0147)","0.0520***
(0.0163)","0.0490*
(0.0276)"
spg,"0.0659
(0.0514)","0.0770
(0.0510)",,
bpg,"0.0218
(0.0454)","0.0163
(0.0456)",,
mpg,"0.0315***
(0.0049)","0.0331***
(0.0050)","0.0384***
(0.0074)","0.0171
(0.0123)"
gp,"0.0032***
(0.0010)","0.0026**
(0.0010)","0.0017
(0.0012)","0.0016
(0.0016)"
fg_pct,"-1.1403***
(0.2524)","-1.2298***
(0.2510)",,
fg3_pct,"-0.2285*
(0.1336)","-0.2488*
(0.1328)",,
ft_pct,"-0.0423
(0.1384)","-0.0522
(0.1370)",,
age,"0.4125***
(0.0377)","0.4145***
(0.0372)","0.4177***
(0.0375)",
age_sq,"-0.0067***
(0.0007)","-0.0067***
(0.0007)","-0.0068***
(0.0007)",
experience,"0.0570***
(0.0124)","0.0529***
(0.0124)","0.0524***
(0.0125)","-0.1264
(0.2170)"
allstar,"-0.0110
(0.0610)","-0.0011
(0.0619)","-0.0041
(0.0635)","0.0079
(0.0750)"
undrafted,"-0.2032***
(0.0568)","-0.2198***
(0.0568)","-0.2163***
(0.0573)",
log_draft_pick,"-0.1853***
(0.0206)","-0.1852***
(0.0204)","-0.1870***
(0.0208)",
pos_PG,"-0.3896***
(0.0809)","-0.3830***
(0.0807)","-0.3582***
(0.0759)","0.1230
(0.1892)"
pos_SG,"-0.2463***
(0.0703)","-0.2487***
(0.0701)","-0.2372***
(0.0660)","0.1666
(0.1636)"
pos_SF,"-0.1665***
(0.0625)","-0.1757***
(0.0622)","-0.1626***
(0.0593)","0.2954**
(0.1381)"
pos_PF,"-0.1050*
(0.0543)","-0.1103**
(0.0541)","-0.1051**
(0.0513)","0.1233
(0.1007)"
post_cba_2017,"0.2188***
(0.0346)",,,
post_covid,"0.1910***
(0.0311)",,,
per,,,"-0.0250***
(0.0086)","-0.0469***
(0.0122)"
ws,,,"0.0093
(0.0194)","-0.0170
(0.0295)"
vorp,,,"0.0252
(0.0366)","0.0784
(0.0568)"
usg_pct,,,"0.0158**
(0.0077)","0.0388***
(0.0115)"
N,3660,3660,3660,3660
R²,0.6475,0.6472,0.6456,0.2152
R² within,0.3860,0.3472,0.3506,-0.3669
R² between,0.6937,0.6716,0.6728,0.0838
