variable,M2a (base),M2b (+no_income_tax),M2c (+state_tax_rate),"M2d (within, +no_income_tax)"
const,"8.2592***
(0.5599)","8.2699***
(0.5629)","8.2588***
(0.5600)",
ppg,"0.0202
(0.0132)","0.0196
(0.0132)","0.0202
(0.0132)","0.0353
(0.0218)"
rpg,"0.0260**
(0.0120)","0.0258**
(0.0120)","0.0262**
(0.0120)","0.0887***
(0.0285)"
apg,"0.0533***
(0.0169)","0.0529***
(0.0168)","0.0537***
(0.0168)","0.0562**
(0.0283)"
mpg,"0.0361***
(0.0074)","0.0364***
(0.0074)","0.0360***
(0.0074)","0.0124
(0.0130)"
gp,"0.0007
(0.0012)","0.0007
(0.0012)","0.0008
(0.0012)","0.0001
(0.0017)"
per,"-0.0318***
(0.0084)","-0.0317***
(0.0084)","-0.0318***
(0.0085)","-0.0607***
(0.0129)"
ws,"0.0255
(0.0200)","0.0255
(0.0200)","0.0252
(0.0201)","0.0077
(0.0318)"
vorp,"0.0151
(0.0380)","0.0157
(0.0379)","0.0155
(0.0380)","0.0646
(0.0609)"
usg_pct,"0.0165**
(0.0077)","0.0169**
(0.0077)","0.0166**
(0.0077)","0.0372***
(0.0124)"
age,"0.4324***
(0.0386)","0.4312***
(0.0389)","0.4315***
(0.0387)",
age_sq,"-0.0071***
(0.0007)","-0.0071***
(0.0008)","-0.0071***
(0.0008)",
experience,"0.0557***
(0.0133)","0.0558***
(0.0133)","0.0557***
(0.0133)","0.0140
(0.2365)"
allstar,"-0.0000
(0.0630)","-0.0011
(0.0628)","-0.0044
(0.0628)","-0.0073
(0.0769)"
undrafted,"-0.2214***
(0.0611)","-0.2202***
(0.0616)","-0.2213***
(0.0608)",
log_draft_pick,"-0.1876***
(0.0216)","-0.1873***
(0.0216)","-0.1882***
(0.0216)",
pos_PG,"-0.3671***
(0.0766)","-0.3675***
(0.0766)","-0.3686***
(0.0765)","0.1243
(0.1953)"
pos_SG,"-0.2555***
(0.0677)","-0.2557***
(0.0677)","-0.2554***
(0.0676)","0.1377
(0.1710)"
pos_SF,"-0.1832***
(0.0608)","-0.1832***
(0.0608)","-0.1831***
(0.0607)","0.2197
(0.1401)"
pos_PF,"-0.1325**
(0.0546)","-0.1322**
(0.0547)","-0.1328**
(0.0546)","0.0782
(0.1108)"
no_income_tax,,"-0.0186
(0.0389)",,"0.0326
(0.0703)"
state_tax_rate,,,"0.1509
(0.1419)",
N,3152,3152,3152,3152
R²,0.6637,0.6638,0.6639,0.2251
R² within,0.3871,0.3868,0.3870,0.1940
R² between,0.6633,0.6634,0.6633,0.1397
