variable,M3a (level),M3b (level + interactions),"M3c (Δ, composite cy)","M3c_canonical (Δ, cy_exogenous)","M3c_circular (Δ, cy_A_up)",M3d (within)
const,"8.4502***
(0.6492)","8.3985***
(0.6429)","-0.4014
(0.4426)","-0.5881
(0.4751)","-0.4528
(0.3230)",
ppg,"0.0061
(0.0133)","0.0065
(0.0133)","0.0020
(0.0093)","-0.0039
(0.0104)","-0.0012
(0.0073)","0.0311
(0.0232)"
rpg,"0.0159
(0.0122)","0.0146
(0.0123)","-0.0195**
(0.0091)","-0.0204**
(0.0091)","-0.0069
(0.0066)","0.0750**
(0.0327)"
apg,"0.0434**
(0.0171)","0.0434**
(0.0171)","-0.0051
(0.0110)","-0.0086
(0.0116)","0.0078
(0.0084)","0.0430
(0.0317)"
mpg,"0.0349***
(0.0077)","0.0359***
(0.0077)","0.0118**
(0.0053)","0.0106*
(0.0059)","0.0073*
(0.0041)","0.0068
(0.0144)"
gp,"-0.0021
(0.0014)","-0.0021
(0.0014)","0.0002
(0.0010)","-0.0002
(0.0011)","0.0005
(0.0008)","-0.0017
(0.0019)"
per,"-0.0407***
(0.0089)","-0.0379***
(0.0098)","0.0294***
(0.0067)","0.0320***
(0.0071)","0.0125**
(0.0051)","-0.0706***
(0.0163)"
ws,"0.0436**
(0.0211)","0.0434**
(0.0211)","0.0146
(0.0160)","0.0157
(0.0173)","0.0175
(0.0120)","0.0273
(0.0331)"
vorp,"0.0075
(0.0408)","0.0066
(0.0408)","-0.0148
(0.0259)","-0.0129
(0.0286)","-0.0212
(0.0183)","0.0579
(0.0711)"
usg_pct,"0.0247***
(0.0082)","0.0250***
(0.0082)","-0.0069
(0.0059)","-0.0050
(0.0061)","0.0017
(0.0049)","0.0383***
(0.0141)"
age,"0.4749***
(0.0455)","0.4739***
(0.0458)","-0.0044
(0.0318)","0.0274
(0.0344)","0.0082
(0.0229)",
age_sq,"-0.0083***
(0.0009)","-0.0083***
(0.0009)","-0.0002
(0.0006)","-0.0008
(0.0007)","-0.0003
(0.0004)",
experience,"0.0901***
(0.0162)","0.0906***
(0.0162)","-0.0251***
(0.0087)","-0.0277***
(0.0090)","-0.0222***
(0.0063)","-0.0341
(0.1381)"
allstar,"0.0684
(0.0606)","0.0095
(0.0705)","-0.0354
(0.0521)","-0.0401
(0.0601)","-0.0428
(0.0386)","0.0297
(0.0813)"
undrafted,"-0.1163
(0.0754)","-0.1147
(0.0755)","0.1306***
(0.0469)","0.1563***
(0.0504)","0.0584
(0.0356)",
log_draft_pick,"-0.2077***
(0.0234)","-0.2080***
(0.0234)","0.0650***
(0.0136)","0.0593***
(0.0142)","0.0213**
(0.0107)",
pos_PG,"-0.3904***
(0.0830)","-0.3934***
(0.0836)","0.0471
(0.0583)","0.0776
(0.0619)","-0.0115
(0.0451)","0.0520
(0.1907)"
pos_SG,"-0.3160***
(0.0765)","-0.3182***
(0.0768)","0.1271**
(0.0513)","0.1475***
(0.0552)","0.0524
(0.0400)","0.1280
(0.1678)"
pos_SF,"-0.2661***
(0.0706)","-0.2672***
(0.0708)","0.1274***
(0.0468)","0.1330***
(0.0491)","0.0589
(0.0370)","0.1919
(0.1461)"
pos_PF,"-0.1917***
(0.0602)","-0.1915***
(0.0602)","0.1031**
(0.0415)","0.0897**
(0.0454)","0.0319
(0.0319)","0.0427
(0.1171)"
contract_year,"-0.5332***
(0.0246)","-0.4403***
(0.0888)","0.4545***
(0.0219)",,,"-0.4462***
(0.0325)"
cy_x_ppg,,"-0.0046
(0.0057)",,,,
cy_x_per,,"-0.0037
(0.0073)",,,,
cy_x_allstar,,"0.1524
(0.1094)",,,,
cy_exogenous,,,,"-0.0051
(0.0261)",,
cy_A_up,,,,,"0.9155***
(0.0208)",
N,2177,2177,2124,2054,2124,2177
R²,0.7360,0.7363,0.2630,0.1270,0.5698,0.3152
R² within,0.5136,0.5141,0.2394,0.0733,0.5540,0.1361
R² between,0.7456,0.7457,0.2357,0.1554,0.5535,0.0341
