variable,R1 (full),R2 (excl <$1M),R3 (excl first-year),R4 (cy_B_offseason),R5 (cy_A_up)
const,"8.4650***
(0.6548)","8.9660***
(0.5993)","7.2094***
(0.7610)","8.7772***
(0.7142)","8.4930***
(0.6000)"
ppg,"0.0053
(0.0133)","0.0114
(0.0123)","0.0094
(0.0153)","0.0128
(0.0153)","0.0100
(0.0127)"
rpg,"0.0157
(0.0123)","0.0214*
(0.0122)","0.0229*
(0.0125)","0.0191
(0.0137)","0.0072
(0.0115)"
apg,"0.0429**
(0.0170)","0.0467***
(0.0168)","0.0455***
(0.0176)","0.0509***
(0.0191)","0.0354**
(0.0165)"
mpg,"0.0353***
(0.0077)","0.0296***
(0.0072)","0.0364***
(0.0086)","0.0346***
(0.0087)","0.0393***
(0.0075)"
gp,"-0.0022
(0.0014)","-0.0072***
(0.0013)","-0.0057***
(0.0016)","-0.0014
(0.0015)","-0.0017
(0.0013)"
per,"-0.0406***
(0.0089)","-0.0459***
(0.0083)","-0.0444***
(0.0118)","-0.0435***
(0.0098)","-0.0259***
(0.0086)"
ws,"0.0437**
(0.0211)","0.0682***
(0.0209)","0.0591***
(0.0223)","0.0459**
(0.0233)","0.0398*
(0.0205)"
vorp,"0.0082
(0.0408)","-0.0228
(0.0398)","-0.0138
(0.0407)","0.0002
(0.0452)","0.0094
(0.0400)"
usg_pct,"0.0252***
(0.0082)","0.0232***
(0.0077)","0.0231**
(0.0099)","0.0230**
(0.0091)","0.0172**
(0.0079)"
age,"0.4730***
(0.0462)","0.4684***
(0.0429)","0.5697***
(0.0515)","0.4284***
(0.0496)","0.4513***
(0.0420)"
age_sq,"-0.0083***
(0.0009)","-0.0084***
(0.0008)","-0.0102***
(0.0010)","-0.0076***
(0.0010)","-0.0081***
(0.0008)"
experience,"0.0902***
(0.0162)","0.0954***
(0.0151)","0.1024***
(0.0161)","0.0959***
(0.0168)","0.0897***
(0.0150)"
allstar,"0.0669
(0.0605)","0.0973
(0.0592)","0.0836
(0.0590)","0.0675
(0.0689)","0.0731
(0.0562)"
undrafted,"-0.1143
(0.0760)","0.0885
(0.0803)","0.0713
(0.0866)","-0.1284
(0.0800)","-0.0539
(0.0713)"
log_draft_pick,"-0.2072***
(0.0234)","-0.1886***
(0.0223)","-0.1725***
(0.0243)","-0.2067***
(0.0253)","-0.1751***
(0.0232)"
pos_PG,"-0.3908***
(0.0832)","-0.3457***
(0.0833)","-0.3602***
(0.0908)","-0.4254***
(0.0917)","-0.3510***
(0.0818)"
pos_SG,"-0.3161***
(0.0765)","-0.2550***
(0.0760)","-0.2704***
(0.0860)","-0.3323***
(0.0836)","-0.2520***
(0.0732)"
pos_SF,"-0.2661***
(0.0707)","-0.2449***
(0.0706)","-0.2492***
(0.0792)","-0.2627***
(0.0753)","-0.2034***
(0.0673)"
pos_PF,"-0.1913***
(0.0603)","-0.1711***
(0.0573)","-0.1838***
(0.0678)","-0.1786***
(0.0664)","-0.1249**
(0.0565)"
no_income_tax,"-0.0194
(0.0437)","0.0157
(0.0448)","-0.0099
(0.0483)","-0.0092
(0.0476)","0.0010
(0.0419)"
contract_year,"-0.5335***
(0.0246)","-0.4616***
(0.0242)","-0.4655***
(0.0266)",,
cy_team_only,,,,"-0.0587*
(0.0348)",
cy_salary_only,,,,,"-0.7181***
(0.0275)"
N,2177,2008,1798,2177,2177
R²,0.7361,0.7068,0.6982,0.6819,0.7599
R² within,0.5134,0.5087,0.5178,0.4106,0.5777
R² between,0.7455,0.7093,0.6744,0.7025,0.7493
