variable,M1a_baseline,M1c_minimal (VORP+USG only),M1a_per36,M1a_age_only,M1a_exp_only,M1a_ts_only,M1a_cap_share (DV=ln cap-share),M1a_pg_ref,M1a_multihot,M1a_cba_inter
const,"8.6429***
(0.5174)","8.0645***
(0.5331)","8.2121***
(0.5191)","8.1677***
(0.5145)","13.9734***
(0.1725)","8.5837***
(0.5059)","-9.5837***
(0.5145)","8.2534***
(0.5098)","8.2534***
(0.5098)","8.7198***
(0.5167)"
ppg,"0.0312***
(0.0055)","0.0064
(0.0117)",,"0.0322***
(0.0056)","0.0277***
(0.0054)","0.0314***
(0.0055)","0.0306***
(0.0056)","0.0312***
(0.0055)","0.0312***
(0.0055)","0.0296***
(0.0093)"
rpg,"0.0176
(0.0112)","0.0163
(0.0115)",,"0.0214*
(0.0115)","0.0132
(0.0108)","0.0130
(0.0112)","0.0193*
(0.0111)","0.0176
(0.0112)","0.0176
(0.0112)","0.0174
(0.0113)"
apg,"0.0517***
(0.0148)","0.0475***
(0.0155)",,"0.0538***
(0.0147)","0.0564***
(0.0141)","0.0490***
(0.0149)","0.0475***
(0.0148)","0.0517***
(0.0148)","0.0517***
(0.0148)","0.0506***
(0.0149)"
spg,"0.0659
(0.0514)",,,"0.0680
(0.0526)","0.0431
(0.0511)","0.0584
(0.0519)","0.0732
(0.0510)","0.0659
(0.0514)","0.0659
(0.0514)","0.0702
(0.0514)"
bpg,"0.0218
(0.0454)",,,"0.0197
(0.0462)","0.0213
(0.0429)","0.0167
(0.0458)","0.0196
(0.0454)","0.0218
(0.0454)","0.0218
(0.0454)","0.0213
(0.0452)"
mpg,"0.0315***
(0.0049)","0.0455***
(0.0065)","0.0553***
(0.0027)","0.0315***
(0.0049)","0.0298***
(0.0048)","0.0330***
(0.0049)","0.0325***
(0.0049)","0.0315***
(0.0049)","0.0315***
(0.0049)","0.0284***
(0.0077)"
gp,"0.0032***
(0.0010)","0.0017*
(0.0010)","0.0026***
(0.0010)","0.0030***
(0.0010)","0.0031***
(0.0010)","0.0031***
(0.0010)","0.0029***
(0.0010)","0.0032***
(0.0010)","0.0032***
(0.0010)","0.0032***
(0.0010)"
fg_pct,"-1.1403***
(0.2524)",,"-1.1579***
(0.2588)","-1.1239***
(0.2552)","-1.0863***
(0.2406)",,"-1.2127***
(0.2507)","-1.1403***
(0.2524)","-1.1403***
(0.2524)","-1.1350***
(0.2524)"
fg3_pct,"-0.2285*
(0.1336)",,"-0.2503*
(0.1365)","-0.2488*
(0.1337)","-0.2051
(0.1281)",,"-0.2526*
(0.1333)","-0.2285*
(0.1336)","-0.2285*
(0.1336)","-0.2226*
(0.1335)"
ft_pct,"-0.0423
(0.1384)",,"-0.0827
(0.1390)","-0.0596
(0.1401)","-0.0271
(0.1365)",,"-0.0542
(0.1379)","-0.0423
(0.1384)","-0.0423
(0.1384)","-0.0391
(0.1379)"
age,"0.4125***
(0.0377)","0.4109***
(0.0377)","0.4152***
(0.0373)","0.4315***
(0.0373)",,"0.4149***
(0.0378)","0.4151***
(0.0374)","0.4125***
(0.0377)","0.4125***
(0.0377)","0.4129***
(0.0376)"
age_sq,"-0.0067***
(0.0007)","-0.0066***
(0.0007)","-0.0068***
(0.0007)","-0.0062***
(0.0007)",,"-0.0068***
(0.0007)","-0.0067***
(0.0007)","-0.0067***
(0.0007)","-0.0067***
(0.0007)","-0.0068***
(0.0007)"
experience,"0.0570***
(0.0124)","0.0516***
(0.0124)","0.0563***
(0.0125)",,"0.2827***
(0.0126)","0.0566***
(0.0123)","0.0527***
(0.0124)","0.0570***
(0.0124)","0.0570***
(0.0124)","0.0580***
(0.0124)"
allstar,"-0.0110
(0.0610)","0.0571
(0.0625)","0.1142*
(0.0594)","-0.0068
(0.0627)","0.0167
(0.0589)","0.0047
(0.0614)","-0.0029
(0.0611)","-0.0110
(0.0610)","-0.0110
(0.0610)","-0.0048
(0.0619)"
undrafted,"-0.2032***
(0.0568)","-0.2192***
(0.0570)","-0.2009***
(0.0572)","-0.3864***
(0.0495)","0.0956**
(0.0481)","-0.1999***
(0.0570)","-0.2216***
(0.0569)","-0.2032***
(0.0568)","-0.2032***
(0.0568)","-0.1986***
(0.0566)"
log_draft_pick,"-0.1853***
(0.0206)","-0.1897***
(0.0206)","-0.1930***
(0.0205)","-0.2107***
(0.0207)","-0.1730***
(0.0190)","-0.1839***
(0.0207)","-0.1861***
(0.0204)","-0.1853***
(0.0206)","-0.1853***
(0.0206)","-0.1853***
(0.0206)"
