model,variable,V0_β,V0_SE,V0_p,V0_N,V1_β,V1_SE,V1_p,V1_N
M1a,post_cba_2017,0.2328***,0.0349,0.0000,3660,0.2188***,0.0346,0.0000,3660
M1a,post_covid,0.2049***,0.0314,0.0000,3660,0.1910***,0.0311,0.0000,3660
M1a,age,0.4294***,0.0375,0.0000,3660,0.4125***,0.0377,0.0000,3660
M1a,experience,0.0058,0.0107,0.5875,3660,0.0570***,0.0124,0.0000,3660
M1a,undrafted,-0.3519***,0.0733,0.0000,3660,-0.2032***,0.0568,0.0003,3660
M1a,allstar,-0.0074,0.0625,0.9053,3660,-0.0110,0.0610,0.8568,3660
M1a,ppg,0.0320***,0.0056,0.0000,3660,0.0312***,0.0055,0.0000,3660
M1d,experience,-0.1053***,0.0357,0.0032,3660,-0.1264,0.2170,0.5605,3660
M2c,state_tax_rate,-0.3598,0.3275,0.2720,3045,0.1509,0.1419,0.2877,3152
M2c,no_income_tax,-0.0108,0.0392,0.7831,3045,-0.0186,0.0389,0.6326,3152
M3a,contract_year,-0.4127***,0.0237,0.0000,2445,-0.5332***,0.0246,0.0000,2177
M3c,contract_year,0.2962***,0.0195,0.0000,2392,0.4545***,0.0219,0.0000,2124
M3d,contract_year,-0.3470***,0.0295,0.0000,2445,-0.4462***,0.0325,0.0000,2177
M3c_canonical,cy_exogenous,—,,,,-0.0051,0.0261,0.8440,2054
M3c_circular,cy_A_up,—,,,,0.9155***,0.0208,0.0000,2124
R1,contract_year,-0.4072***,0.0243,0.0000,2357,-0.5335***,0.0246,0.0000,2177
R1,no_income_tax,-0.0184,0.0421,0.6614,2357,-0.0194,0.0437,0.6578,2177
R3,contract_year,-0.3992***,0.0250,0.0000,2034,-0.4655***,0.0266,0.0000,1798
