variable,τ=0.10,τ=0.25,τ=0.50,τ=0.75,τ=0.90
const,"9.7028***
(0.8401)","8.8576***
(0.7598)","8.7428***
(0.7744)","8.7313***
(0.6718)","8.9527***
(0.6824)"
ppg,"0.0322***
(0.0103)","0.0328***
(0.0082)","0.0348***
(0.0077)","0.0252***
(0.0058)","0.0222***
(0.0055)"
rpg,"0.0212
(0.0217)","0.0298*
(0.0165)","0.0047
(0.0167)","0.0132
(0.0113)","0.0044
(0.0164)"
apg,"0.0664**
(0.0270)","0.0535**
(0.0211)","0.0448**
(0.0201)","0.0288
(0.0187)","0.0086
(0.0174)"
spg,"0.1415
(0.1009)","0.0874
(0.0760)","0.0282
(0.0704)","-0.0207
(0.0555)","0.0422
(0.0700)"
bpg,"0.0506
(0.0878)","-0.0283
(0.0650)","0.0430
(0.0638)","0.0441
(0.0611)","0.0326
(0.0594)"
mpg,"0.0119
(0.0099)","0.0208***
(0.0067)","0.0364***
(0.0064)","0.0423***
(0.0059)","0.0406***
(0.0059)"
gp,"0.0092***
(0.0017)","0.0044***
(0.0014)","0.0013
(0.0011)","-0.0002
(0.0011)","-0.0021*
(0.0012)"
fg_pct,"-0.8717**
(0.4181)","-1.1442***
(0.3358)","-1.3467***
(0.3380)","-0.8657**
(0.3548)","-0.3142
(0.3855)"
fg3_pct,"0.1692
(0.2212)","0.0656
(0.1797)","-0.2534
(0.1684)","-0.3314*
(0.1754)","-0.2853
(0.1856)"
ft_pct,"-0.1621
(0.2258)","-0.0421
(0.1935)","-0.1083
(0.1569)","-0.0086
(0.2088)","0.3461*
(0.1838)"
age,"0.2909***
(0.0585)","0.4000***
(0.0523)","0.4285***
(0.0554)","0.4300***
(0.0444)","0.4210***
(0.0551)"
age_sq,"-0.0054***
(0.0012)","-0.0073***
(0.0010)","-0.0075***
(0.0011)","-0.0071***
(0.0008)","-0.0068***
(0.0010)"
experience,"0.0818***
(0.0250)","0.0982***
(0.0177)","0.0906***
(0.0165)","0.0678***
(0.0133)","0.0513***
(0.0173)"
allstar,"0.0373
(0.1268)","-0.0543
(0.0925)","-0.0597
(0.0924)","0.0100
(0.0487)","-0.0231
(0.0588)"
undrafted,"-0.1971**
(0.0971)","-0.1327**
(0.0637)","-0.1566**
(0.0736)","-0.1244
(0.0819)","-0.0503
(0.1310)"
log_draft_pick,"-0.2365***
(0.0358)","-0.2453***
(0.0358)","-0.1829***
(0.0264)","-0.1589***
(0.0247)","-0.1532***
(0.0251)"
pos_PG,"-0.3230***
(0.1235)","-0.3700***
(0.1127)","-0.3937***
(0.1176)","-0.2533**
(0.1026)","-0.2804***
(0.1034)"
pos_SG,"-0.1315
(0.1053)","-0.2351***
(0.0907)","-0.2619**
(0.1058)","-0.1667*
(0.0895)","-0.2367***
(0.0906)"
pos_SF,"0.0244
(0.1003)","-0.1149
(0.0720)","-0.1689**
(0.0832)","-0.1768**
(0.0801)","-0.2141***
(0.0771)"
pos_PF,"0.0283
(0.0912)","-0.0761
(0.0683)","-0.1050
(0.0723)","-0.0818
(0.0684)","-0.1914***
(0.0698)"
post_cba_2017,"0.2482***
(0.0565)","0.2170***
(0.0484)","0.2740***
(0.0431)","0.2614***
(0.0456)","0.1785***
(0.0423)"
post_covid,"0.2331***
(0.0572)","0.1974***
(0.0441)","0.1825***
(0.0403)","0.1376***
(0.0381)","0.1144***
(0.0379)"
