tau,variable,beta,se
0.1,ppg,0.03216691498550972,0.010251372904927593
0.1,age,0.290856255370727,0.05846148883507711
0.1,experience,0.08182586047860241,0.02498406005304483
0.1,allstar,0.037285591188265244,0.12678327247463217
0.1,undrafted,-0.19713362524635158,0.09707599244956083
0.1,post_cba_2017,0.24821942777452932,0.056545005301983246
0.1,post_covid,0.23312883581911592,0.05716448902970237
0.25,ppg,0.03282604545165668,0.008159354879022569
0.25,age,0.4000229494413361,0.052254966758559375
0.25,experience,0.09818341843492817,0.017657658951745064
0.25,allstar,-0.05432202520023566,0.09250535508823213
0.25,undrafted,-0.13266968653260847,0.06373825725635826
0.25,post_cba_2017,0.217028606479289,0.04840899068305242
0.25,post_covid,0.1974349523152341,0.04410545246376491
0.5,ppg,0.034769116313327686,0.007732953906254298
0.5,age,0.4285048981055297,0.055439062738093965
0.5,experience,0.09061955801337263,0.016469979661294584
0.5,allstar,-0.0596969643374905,0.09238685032472942
0.5,undrafted,-0.1566109221403167,0.07355151526066536
0.5,post_cba_2017,0.27399744768990786,0.043104791514383234
0.5,post_covid,0.18250389345848816,0.04030724448872916
0.75,ppg,0.025199217046065314,0.005772928242053423
0.75,age,0.430033601805917,0.044426244731984775
0.75,experience,0.0678334813451329,0.013284817741675078
0.75,allstar,0.009981027174944757,0.048719495429667296
0.75,undrafted,-0.12441423660857254,0.08191092011520323
0.75,post_cba_2017,0.2613659420167096,0.04563632071680828
0.75,post_covid,0.13759631652010285,0.038078449456933124
0.9,ppg,0.022217568815221966,0.005529623353978297
0.9,age,0.4209802513869363,0.05507623910762969
0.9,experience,0.05131034636997356,0.01730423187632873
0.9,allstar,-0.023121789883589372,0.058778819229227466
0.9,undrafted,-0.0502988163025293,0.13095408335373182
0.9,post_cba_2017,0.17845807958883597,0.04230837543440112
0.9,post_covid,0.11442423706830596,0.03786159088450417
