variable,VIF
age,735.517826974546
age_sq,311.65873670016674
fg_pct,76.0084951541128
mpg,72.46945227377839
ft_pct,66.96081832010728
experience,25.055711216569346
ppg,24.49714428813651
gp,19.695706812098955
rpg,16.389474669329516
log_draft_pick,16.31851289321995
fg3_pct,11.219502017614145
spg,11.176348543899639
apg,9.65513863301686
post_cba_2017,6.2349482529693026
pos_PG,5.398560948251148
pos_SG,5.360202481646566
bpg,5.047332212931336
pos_SF,3.714496074293263
pos_PF,2.882008434645018
post_covid,2.5483304065658174
undrafted,2.468440152867782
allstar,1.8278106296839491
