STATE;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Alabama;4.25%;4.25%;4.25%;4.25%;4.25%;4.02%;4.02%;4.02%;4.02%;4.02%;4.15%;4.15%;4.15%;4.15%;4.15%;4.15%;4.15%;4.15%;4.15%
Alaska;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
Arizona;4.79%;4.54%;4.54%;4.54%;4.54%;4.54%;4.54%;4.54%;4.54%;4.54%;4.54%;4.54%;4.50%;8.00%;4.50%;2.50%;2.50%;2.50%;2.50%
Arkansas;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;7.00%;6.90%;6.90%;6.90%;6.90%;6.90%;6.60%;5.90%;5.50%;4.90%;4.40%;3.90%;3.90%
California;10.30%;10.30%;10.55%;10.30%;10.30%;13.30%;13.30%;13.30%;13.30%;13.30%;13.30%;13.30%;13.30%;13.30%;13.30%;13.30%;14.40%;14.40%;14.60%
Colorado;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.63%;4.55%;4.55%;4.40%;4.40%;4.40%;4.40%
Connecticut;5.00%;5.00%;6.50%;6.50%;6.70%;6.70%;6.70%;6.70%;6.99%;6.99%;6.99%;6.99%;6.99%;6.99%;6.99%;6.99%;6.99%;6.99%;6.99%
Delaware;7.20%;7.20%;8.20%;8.20%;8.00%;8.00%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%;7.85%
Florida;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
Georgia;6.00%;6.00%;6.00%;6.00%;6.00%;6.00%;6.00%;6.00%;6.00%;6.00%;5.75%;5.75%;5.75%;5.75%;5.75%;5.75%;5.49%;5.39%;5.19%
Hawaii;8.25%;8.25%;11.00%;11.00%;11.00%;11.00%;11.00%;11.00%;8.25%;8.25%;11.00%;11.00%;11.00%;11.00%;11.00%;11.00%;11.00%;11.00%;11.00%
Idaho;7.80%;7.80%;7.80%;7.80%;7.80%;7.40%;7.40%;7.40%;7.40%;7.40%;6.93%;6.93%;6.93%;6.93%;6.50%;5.80%;5.80%;5.70%;5.30%
Illinois;3.00%;3.00%;3.00%;5.00%;5.00%;5.00%;5.00%;3.75%;3.75%;3.75%;4.95%;4.95%;4.95%;4.95%;4.95%;4.95%;4.95%;4.95%;4.95%
Indiana;4.30%;4.30%;4.30%;4.30%;5.02%;5.02%;5.02%;5.07%;5.07%;5.00%;5.25%;5.25%;5.25%;5.25%;5.25%;5.17%;5.07%;5.02%;4.97%
